Testing	// User ID
7-2-2025	// Evaluation date
IJ_Walk_BP2	6-2-2025	12:38:53:426	// Source file name and timestamp
100.000	// Sampling rate
4.000	// Data capture period



Sample #	Right_Foot_COM_X	Right_Foot_COM_Y	RightAnklePosX	RightAnklePosY	RightKnee.Pos.X	RightKneePosY	RightHip_PosX	RightHipPosY	ThoraxCOMPosY	ThoraxCOMPosX	GRF_MoundY	
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.652876	
1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.635544	
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.662310	
3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.407436	
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.890451	
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.032557	
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.382324	
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.025462	
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.254691	
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.190103	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.239569	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.019626	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.036033	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.923978	
14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.771740	
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.485036	
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.189514	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.806662	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.454206	
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.681784	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.971379	
21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.503832	
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.093441	
23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.715939	
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.661138	
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.096298	
26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.244376	
27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.607144	
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.946990	
29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.547459	
30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.544929	
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.035489	
32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.228747	
33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.117427	
34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.055396	
35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.595251	
36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.915435	
37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.241848	
38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.792707	
39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.273777	
40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.993931	
41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.145826	
42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.399326	
43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.466176	
44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.467087	
45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.042141	
46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.825291	
47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.516851	
48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.183139	
49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100114	
50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.861388	
51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.524597	
52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.262686	
53	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.398215	
54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.517029	
55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.776949	
56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.880660	
57	-1.910767	0.120038	-1.973749	0.161145	-1.921580	0.604027	-2.116766	0.964642	NaN	NaN	0.869714	
58	-1.867387	0.129544	-1.937025	0.160068	-1.908554	0.605181	-2.109176	0.962778	NaN	NaN	1.002386	
59	-1.821971	0.145559	-1.898550	0.158278	-1.892390	0.604301	-2.093914	0.961334	NaN	NaN	1.378833	
60	-1.780681	0.128862	-1.852931	0.158325	-1.873148	0.603968	-2.075561	0.960410	NaN	NaN	1.515973	
61	-1.743743	0.135877	-1.820698	0.153768	-1.866450	0.597514	-2.070539	0.953029	NaN	NaN	1.882534	
62	-1.713624	0.149796	-1.794357	0.152689	-1.859078	0.594048	-2.065546	0.948175	NaN	NaN	2.707244	
63	-1.683987	0.156091	-1.765228	0.152402	-1.850188	0.590295	-2.056807	0.944396	NaN	NaN	0.523493	
64	-1.653541	0.163073	-1.735043	0.153434	-1.845185	0.585649	-2.043517	0.944501	NaN	NaN	1.609621	
65	-1.622603	0.168150	-1.704397	0.158410	-1.827978	0.586974	-2.031479	0.942842	NaN	NaN	1.048319	
66	-1.598892	0.170935	-1.680729	0.159740	-1.814750	0.585203	-2.026012	0.936550	NaN	NaN	0.702071	
67	-1.575334	0.167612	-1.656530	0.162392	-1.810479	0.581092	-2.026589	0.929477	NaN	NaN	1.702174	
68	-1.551981	0.163946	-1.632176	0.166849	-1.802741	0.579028	-2.025188	0.923357	NaN	NaN	-1.456099	
69	-1.536584	0.157911	-1.616317	0.165030	-1.799268	0.571761	-2.019059	0.917926	NaN	NaN	0.563497	
70	-1.525269	0.166438	-1.606067	0.159411	-1.786582	0.567353	-2.007593	0.912734	NaN	NaN	1.649364	
71	-1.516467	0.168427	-1.598124	0.153532	-1.775150	0.562961	-1.998252	0.906961	NaN	NaN	1.371327	
72	-1.506455	0.160807	-1.587920	0.149544	-1.761258	0.560585	-1.976292	0.909667	1.431625	-1.851004	2.151463	
73	-1.498812	0.156488	-1.579997	0.144692	-1.734652	0.563108	-1.939167	0.918324	1.431114	-1.835374	2.095810	
