Testing	// User ID
7-2-2025	// Evaluation date
IJ_Walk_BW3	6-2-2025	13:47:24:856	// Source file name and timestamp
100.000	// Sampling rate
4.000	// Data capture period



Sample #	Right_Foot_COM_X	Right_Foot_COM_Y	RightAnklePosX	RightAnklePosY	RightKnee.Pos.X	RightKneePosY	RightHip_PosX	RightHipPosY	ThoraxCOMPosY	ThoraxCOMPosX	GRF_MoundY	
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.299797	
1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.194632	
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.481471	
3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.378150	
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.145288	
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.457363	
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.331667	
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.655169	
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.248162	
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.592182	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.476868	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.729585	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.409669	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.395921	
14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.139687	
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.509378	
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.777746	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.211071	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.414087	
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.470423	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.074470	
21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.993531	
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.386345	
23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.596055	
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.607621	
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.973861	
26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.669647	
27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.081737	
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.231101	
