Testing	// User ID
7-2-2025	// Evaluation date
KJ_Walk_BP3	6-2-2025	12:11:11:196	// Source file name and timestamp
100.000	// Sampling rate
4.000	// Data capture period



Sample #	Right_Foot_COM_X	Right_Foot_COM_Y	RightAnklePosX	RightAnklePosY	RightKnee.Pos.X	RightKneePosY	RightHip_PosX	RightHipPosY	ThoraxCOMPosY	ThoraxCOMPosX	GRF_MoundY	
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.663576	
1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.319373	
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.074784	
3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.931508	
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.591195	
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.879604	
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.438030	
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.291599	
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.460329	
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.339256	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.130735	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.801392	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.708827	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.331285	
14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.272320	
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.041925	
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.040074	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.161135	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.236907	
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.093161	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.464904	
21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.616106	
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.597504	
23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.820207	
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.393621	
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.831538	
26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.491215	
27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.663413	
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.586519	
29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.142680	
30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.493817	
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.763933	
32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.274758	
33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.312074	
34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.169847	
35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.577967	
36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.016465	
37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.901782	
38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.624735	
39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.094072	
40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.146793	
41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.688146	
42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.282107	
43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.305278	
44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.501149	
