Testing	// User ID
7-2-2025	// Evaluation date
KJ_Walk_BW2	6-2-2025	11:56:47:935	// Source file name and timestamp
100.000	// Sampling rate
4.000	// Data capture period



Sample #	Right_Foot_COM_X	Right_Foot_COM_Y	RightAnklePosX	RightAnklePosY	RightKnee.Pos.X	RightKneePosY	RightHip_PosX	RightHipPosY	ThoraxCOMPosY	ThoraxCOMPosX	GRF_MoundY	
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.710220	
1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.733140	
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.704576	
3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.773969	
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.066816	
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.699161	
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.571984	
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.154412	
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.549284	
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.158870	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.871594	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.135312	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.741055	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.839653	
14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.505707	
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.243449	
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.386919	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.713609	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.643027	
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.486813	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.723361	
21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.334405	
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.094790	
23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.050810	
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.036881	
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.712641	
26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.123522	
27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.447042	
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.745278	
29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.437682	
30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.769148	
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.779838	
32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.784292	
33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.521817	
34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.301021	
35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.982681	
36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.391589	
37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.335524	
