Testing	// User ID
7-2-2025	// Evaluation date
KR_Walk_BP3	6-2-2025	12:20:00:160	// Source file name and timestamp
100.000	// Sampling rate
4.000	// Data capture period



Sample #	Right_Foot_COM_X	Right_Foot_COM_Y	RightAnklePosX	RightAnklePosY	RightKnee.Pos.X	RightKneePosY	RightHip_PosX	RightHipPosY	ThoraxCOMPosY	ThoraxCOMPosX	GRF_MoundY	
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.101003	
1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.354098	
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.492055	
3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.286276	
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.461321	
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.527286	
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.461080	
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.009970	
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.658652	
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.935942	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.057754	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.715121	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.674057	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.399621	
14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.757697	
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.454420	
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.300118	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.300935	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.303392	
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.709149	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.152306	
21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.734865	
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.368729	
23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.116963	
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.686763	
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.278439	
26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.008678	
27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.853740	
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.318439	
29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.664868	
30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.134415	
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.872103	
32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.114458	
33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.179985	
34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.457068	
35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.982248	
36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.793503	
37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.697803	
38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.625284	
39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.723386	
40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.008541	
41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.678913	
42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.404198	
43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.224055	
44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.352771	
45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.931013	
46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.438236	
47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.326801	
48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.135229	
49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.536353	
50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.417492	
51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.558917	
52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.696228	
53	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.491300	
54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.277648	
55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.923368	
56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.765802	
57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.119130	
58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.925832	
59	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.039743	
60	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.313587	
61	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.807323	
62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.944304	
63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.557122	
64	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.174061	
65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.977589	
66	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.235986	
67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.432439	-1.767141	0.514151	
68	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.434590	-1.756532	1.758552	
69	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.437334	-1.747633	1.678066	
70	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.440607	-1.727249	1.104054	
71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.443767	-1.707008	2.339435	
72	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.447457	-1.688305	2.301660	
73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.451337	-1.668842	1.629314	
74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.454497	-1.650118	2.959691	
75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.456864	-1.633395	2.414513	
76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.457765	-1.621211	2.931470	
77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.457341	-1.613475	1.700828	
78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.456088	-1.602622	1.675321	
79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.455126	-1.595500	2.280314	
80	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.452240	-1.614128	1.629380	
81	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.445810	-1.613210	1.768638	
82	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.445992	-1.599909	2.323402	
83	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.448591	-1.588356	2.935383	
84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.451817	-1.574152	1.662541	
85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.453081	-1.558134	0.451079	
86	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.457558	-1.538466	2.851362	
87	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.472882	-1.513473	1.630630	
88	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.475163	-1.499589	3.506384	
89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.475513	-1.486302	1.696980	
90	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.478325	-1.472928	3.496176	
91	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.480199	-1.467333	0.491260	
92	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.481561	-1.458919	2.829766	
