Testing	// User ID
7-2-2025	// Evaluation date
KR_Walk_BW1	6-2-2025	12:22:21:495	// Source file name and timestamp
100.000	// Sampling rate
4.000	// Data capture period



Sample #	Right_Foot_COM_X	Right_Foot_COM_Y	RightAnklePosX	RightAnklePosY	RightKnee.Pos.X	RightKneePosY	RightHip_PosX	RightHipPosY	ThoraxCOMPosY	ThoraxCOMPosX	GRF_MoundY	
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.218521	
1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.023454	
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.670343	
3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.223974	
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080333	
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.062267	
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.001159	
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.712439	
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.055522	
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.071632	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.090647	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.229816	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.179247	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.372393	
14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.680722	
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.615788	
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.304658	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.841964	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.640050	
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.982111	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.307253	
21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.078416	
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008081	
23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.876327	
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.945534	
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.541122	
26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.402329	
27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.285547	
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.026749	
29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.514309	
30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.903429	
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.676895	
32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.315653	
33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.132908	
34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.688353	
35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.957812	
36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.275932	
37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.822699	
38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.520309	-1.786612	1.417476	
39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.523521	-1.771164	-0.570595	
40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.522423	-1.765312	-0.235040	
41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.519224	-1.762912	-1.100075	
42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.515212	-1.761666	-1.348596	
43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.518121	-1.749454	-0.806111	
44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.520633	-1.736840	0.938240	
45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.514359	-1.737571	0.998001	
46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.508609	-1.736531	-1.119533	
47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.505606	-1.728803	0.551713	
48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.501716	-1.722225	-0.327929	
49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.497031	-1.718229	0.728503	
50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.491901	-1.715424	1.071535	
51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.486565	-1.713333	0.499799	
52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.481567	-1.712017	1.019766	
53	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.476028	-1.713792	0.617960	
54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.470742	-1.715707	-0.961184	
55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.466194	-1.716088	-1.916134	
56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.462339	-1.714814	-0.447151	
57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.459603	-1.710968	-0.565736	
58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.457855	-1.703420	-0.677360	
59	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.457380	-1.691299	1.214064	
60	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.458431	-1.674662	-2.173630	
61	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.458059	-1.662799	1.065839	
62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.459442	-1.644892	-1.813539	
63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.151159	
64	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.227976	
65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.130576	
66	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.998642	
67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.505455	
68	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.429495	
69	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.094137	
70	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.067031	
71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.287038	
72	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.541843	
73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.288251	
74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.996906	
75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.660337	
76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.027612	
77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.258875	
78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.580360	
79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.001409	
80	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.979913	
81	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.779392	
82	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.838288	
