PathFileType  4,(X/Y/Z) /workspace/Data/f8309750-3477-4e6d-af18-fc73a77fa520/MarkerData/PostAugmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,272,63,m,60,1,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,r.ASIS_study,,,L.ASIS_study,,,r.PSIS_study,,,L.PSIS_study,,,r_knee_study,,,r_mknee_study,,,r_ankle_study,,,r_mankle_study,,,r_toe_study,,,r_5meta_study,,,r_calc_study,,,L_knee_study,,,L_mknee_study,,,L_ankle_study,,,L_mankle_study,,,L_toe_study,,,L_calc_study,,,L_5meta_study,,,r_shoulder_study,,,L_shoulder_study,,,C7_study,,,r_thigh1_study,,,r_thigh2_study,,,r_thigh3_study,,,L_thigh1_study,,,L_thigh2_study,,,L_thigh3_study,,,r_sh1_study,,,r_sh2_study,,,r_sh3_study,,,L_sh1_study,,,L_sh2_study,,,L_sh3_study,,,RHJC_study,,,LHJC_study,,,r_lelbow_study,,,r_melbow_study,,,r_lwrist_study,,,r_mwrist_study,,,L_lelbow_study,,,L_melbow_study,,,L_lwrist_study,,,L_mwrist_study,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.36675,1.3939386,0.35531,0.39299,1.3976086,0.53294,0.32491,1.1984986,0.69967,0.33008,0.9962186,0.60578,0.36431,1.3868786,0.16686,0.2785,1.2029786,0.01472,0.33753,1.0050286,0.09402,0.3981,0.9124386,0.36012,0.41317,0.9164486,0.47132,0.38045,0.5171886,0.49812,0.33925,0.1280486,0.54042,0.39236,0.9093186,0.24446,0.36156,0.5186086,0.27654,0.33717,0.1213986,0.2968,0.47403,0.0713686,0.23704,0.46728,0.0722586,0.23842,0.29784,0.0825986,0.31769,0.48455,0.0837586,0.58391,0.48068,0.0849586,0.58287,0.31592,0.0982986,0.53071,0.4701372,0.9790559,0.509896,0.4544068,0.9667356,0.1946347,0.2439662,1.0001793,0.4333686,0.2379376,0.9945379,0.3102023,0.3835891,0.5203179,0.5661801,0.4008485,0.5124745,0.4495842,0.3238056,0.1345595,0.5889198,0.3576145,0.1280136,0.5015237,0.466196,0.089518,0.5824936,0.4182633,0.0913656,0.630776,0.2674271,0.1011435,0.5249743,0.3607868,0.5038888,0.2151283,0.3944777,0.5122134,0.3336972,0.3066657,0.1095555,0.2498076,0.3531184,0.116908,0.3333885,0.4662749,0.0694748,0.2502662,0.2558091,0.0832336,0.3231397,0.4062668,0.062785,0.2018943,0.3847823,1.4712348,0.5260926,0.3772352,1.4584685,0.1594761,0.2755892,1.481519,0.3526198,0.4469581,0.7722552,0.5626824,0.417016,0.6749529,0.5855245,0.3394328,0.7682683,0.5794649,0.4339918,0.7505171,0.1706645,0.3966217,0.6520728,0.1662516,0.3107103,0.7475003,0.1687202,0.3694103,0.4023168,0.5850509,0.3810368,0.2844278,0.6072696,0.3103112,0.3063849,0.5982986,0.3455655,0.3827958,0.2138236,0.3593548,0.2596808,0.2041308,0.2868063,0.2824407,0.2199073,0.3654141,0.8930878,0.4590882,0.3556355,0.8860323,0.2691879,0.3242703,1.1755204,0.7366123,0.2681079,1.1766215,0.6775505,0.3687471,0.9980889,0.5720584,0.3310704,0.9625825,0.6201682,0.2761885,1.1996059,-0.0291549,0.21672,1.186794,0.0367513,0.3701773,1.0137112,0.1197982,0.3248262,0.9705,0.093059
2,0.0166667,0.36676,1.3936186,0.35286,0.39233,1.3964886,0.53097,0.32353,1.1973486,0.69884,0.32314,0.9950286,0.60127,0.36507,1.3874186,0.16401,0.27787,1.2018386,0.01424,0.33822,1.0050086,0.09092,0.39773,0.9135786,0.35678,0.41244,0.9171686,0.46833,0.38194,0.5182286,0.49563,0.33857,0.1277986,0.53949,0.39241,0.9106386,0.24081,0.36056,0.5182986,0.27482,0.3366,0.1204386,0.29617,0.47433,0.0720386,0.23686,0.46749,0.0728786,0.23826,0.29704,0.0825486,0.31577,0.48529,0.0846786,0.58433,0.48142,0.0859286,0.58324,0.31469,0.0976286,0.53002,0.4742219,0.9788733,0.5075197,0.452637,0.9688942,0.1925336,0.2453823,1.0000461,0.4298027,0.2376517,0.9957541,0.3063948,0.3867293,0.5260346,0.5589376,0.3999164,0.5170356,0.4463297,0.3251136,0.1335153,0.5774071,0.3546902,0.1275443,0.4948502,0.4661092,0.0911802,0.5691149,0.4178881,0.0908836,0.6155559,0.2662104,0.099891,0.5174611,0.3642498,0.5085414,0.2121417,0.3979982,0.518573,0.3271775,0.3134597,0.1142326,0.2554812,0.358209,0.1234707,0.3337315,0.4680286,0.0767886,0.251074,0.2621498,0.0878593,0.3258439,0.4084069,0.0708039,0.2075709,0.3871114,1.4669631,0.5283054,0.3747154,1.4564563,0.1657765,0.2749477,1.4794529,0.3576928,0.4520126,0.7729638,0.5540774,0.4210491,0.6774331,0.57714,0.3431697,0.7725816,0.5723099,0.427691,0.751444,0.1718317,0.3940278,0.6543342,0.1663285,0.3117436,0.7482725,0.16852,0.3696645,0.4087533,0.5772473,0.3805236,0.2897537,0.5962322,0.3129104,0.3079065,0.5878737,0.349876,0.3862587,0.2153987,0.3622876,0.2626922,0.2080228,0.2945379,0.2862334,0.2239296,0.3662522,0.8936663,0.45541,0.3530531,0.8878125,0.2651635,0.3295965,1.1815023,0.73412,0.2620958,1.1887685,0.6827266,0.3546019,0.9961771,0.5600739,0.3225987,0.9626614,0.6179583,0.2748625,1.193353,-0.0283819,0.2148187,1.1866896,0.0249818,0.3620249,1.0193692,0.1179707,0.3246393,0.970049,0.0873922
3,0.0333333,0.36724,1.3929586,0.35048,0.39333,1.3953386,0.52845,0.32356,1.1967186,0.69681,0.32691,0.9948386,0.59984,0.36502,1.3871486,0.1618,0.27767,1.2033186,0.01146,0.33636,1.0055686,0.0889,0.39793,0.9150686,0.35479,0.41335,0.9189986,0.46644,0.38314,0.5174686,0.49517,0.33913,0.1275586,0.54023,0.39195,0.9118386,0.23869,0.36126,0.5180786,0.27337,0.33683,0.1212886,0.29716,0.4734,0.0715786,0.23676,0.46671,0.0724986,0.23822,0.29911,0.0835186,0.31755,0.48585,0.0851986,0.58447,0.4819,0.0864186,0.58339,0.31441,0.0975186,0.53103,0.4772821,0.9794912,0.5085731,0.4540757,0.9728149,0.190554,0.2442593,1.000614,0.4281074,0.2357506,0.9975772,0.3037571,0.3844082,0.5267206,0.5590075,0.3988359,0.5170273,0.4442887,0.3255377,0.1319591,0.5769726,0.35668,0.1260804,0.4947513,0.467529,0.0904712,0.5686412,0.4185805,0.0905143,0.6153566,0.2671182,0.0977612,0.5159714,0.3607931,0.5115167,0.2092173,0.3958308,0.5208986,0.3241064,0.3118561,0.1177168,0.2570226,0.3575651,0.1260713,0.3335376,0.4652675,0.0809592,0.2503102,0.2616974,0.0910009,0.3274134,0.4051836,0.0746416,0.2090541,0.3907751,1.4658907,0.5287732,0.3731281,1.4569738,0.1653158,0.2751319,1.4804426,0.356885,0.4527218,0.7723748,0.5533725,0.4205422,0.6774172,0.5772616,0.3408231,0.7735252,0.5727077,0.4245778,0.7535174,0.1673655,0.390709,0.6569899,0.1625675,0.3088303,0.7516035,0.1656353,0.3676615,0.4092764,0.5766736,0.380018,0.2900998,0.5970481,0.3108744,0.3069244,0.5859769,0.3463474,0.3901297,0.2148628,0.3591709,0.2664985,0.2087118,0.2913307,0.2901995,0.2247871,0.3659022,0.8937784,0.4535968,0.3517653,0.8899056,0.2616099,0.3339318,1.1855985,0.7303618,0.2600509,1.1931479,0.6908917,0.3465806,0.9992224,0.5557231,0.3210922,0.9671636,0.6171727,0.2782546,1.1909671,-0.0363526,0.212356,1.1853875,0.0089003,0.3551696,1.0212973,0.121296,0.3247365,0.9715441,0.0844646
4,0.05,0.36928,1.3925286,0.34792,0.39419,1.3947986,0.52577,0.32224,1.1970586,0.69546,0.32683,0.9937586,0.59988,0.36809,1.3868286,0.15952,0.27781,1.2059286,0.0088,0.33601,1.0042286,0.08629,0.39768,0.9154986,0.35229,0.41311,0.9186286,0.46457,0.3848,0.5173886,0.49552,0.33873,0.1253786,0.54077,0.39178,0.9129086,0.23554,0.35999,0.5192186,0.2723,0.33462,0.1221586,0.29635,0.47393,0.0721086,0.23733,0.46732,0.0728286,0.23862,0.29731,0.0830886,0.31689,0.48589,0.0850886,0.58386,0.48176,0.0864486,0.58282,0.31333,0.0941686,0.53275,0.4785314,0.9802449,0.5088929,0.4529673,0.974076,0.1870972,0.2438961,0.9982226,0.4265062,0.2343874,0.9953484,0.3007278,0.3836621,0.5274159,0.5592693,0.3986611,0.5164696,0.4425107,0.3261976,0.1331581,0.5783634,0.3583329,0.1264364,0.4958106,0.4687619,0.0917155,0.568691,0.4194223,0.092099,0.6158593,0.2676299,0.0983784,0.517662,0.3562353,0.5136607,0.2075875,0.3913821,0.522832,0.3229578,0.3093177,0.1201134,0.2575337,0.3552185,0.1280622,0.3334731,0.4601092,0.0835935,0.2501914,0.2600606,0.0935976,0.3281027,0.4009295,0.0768801,0.2100456,0.3934313,1.4615861,0.5279678,0.3712632,1.4541378,0.1641621,0.2760756,1.4768321,0.3552684,0.4541747,0.7720094,0.5526408,0.4211384,0.6777721,0.5771853,0.3399953,0.7747419,0.5729278,0.4222888,0.7540354,0.1630188,0.3876621,0.6581839,0.1592193,0.3064364,0.7528516,0.1621701,0.3672661,0.4104567,0.576719,0.3806431,0.2917355,0.5979742,0.3102622,0.3080063,0.5865282,0.3422245,0.3928111,0.2144181,0.3559524,0.2691545,0.2086812,0.2873895,0.2929203,0.2250981,0.3661659,0.8936411,0.451796,0.3506223,0.8900792,0.2575908,0.3376364,1.184937,0.7291923,0.2575205,1.193027,0.6955358,0.3407574,0.9987886,0.553103,0.3190949,0.96604,0.6168874,0.2818727,1.1903899,-0.040991,0.211652,1.1847334,0.0000043,0.3515237,1.0204855,0.1233864,0.3255065,0.9710424,0.0794821
5,0.0666667,0.36544,1.3928186,0.34602,0.39289,1.3956886,0.52416,0.32091,1.1955286,0.69315,0.32563,0.9914186,0.59724,0.36202,1.3866586,0.15712,0.27929,1.2041086,0.00865,0.33827,1.0037186,0.08455,0.3967,0.9134886,0.35044,0.41214,0.9171186,0.46291,0.38787,0.5197886,0.49404,0.33902,0.1267486,0.53921,0.39081,0.9108086,0.23348,0.35961,0.5194086,0.2716,0.33387,0.1200886,0.29607,0.47324,0.0737386,0.23762,0.46657,0.0743986,0.23896,0.29554,0.0813686,0.31564,0.48623,0.0833886,0.58388,0.48234,0.0848486,0.58282,0.31428,0.0963986,0.53025,0.4783945,0.978576,0.5093843,0.4513078,0.9729704,0.1842923,0.2428271,0.9942766,0.4254878,0.2326681,0.9915814,0.2984017,0.382852,0.5252335,0.5601058,0.3980199,0.5137122,0.4409713,0.3264786,0.1322049,0.5783522,0.3592166,0.1250122,0.4950348,0.4686441,0.0904201,0.5677274,0.4192027,0.0912455,0.6153482,0.2675909,0.0978112,0.5175187,0.3527403,0.5121054,0.2066062,0.3876596,0.5215958,0.3232732,0.3079014,0.1188519,0.2579344,0.3537397,0.1269767,0.3340633,0.457154,0.0840178,0.2508466,0.2586613,0.0924547,0.3288628,0.3984958,0.0761607,0.2109899,0.3945694,1.4558407,0.5272956,0.3688533,1.4506465,0.1629885,0.2759239,1.4717665,0.3542144,0.4551944,0.7689447,0.5530559,0.4214507,0.6752667,0.578098,0.3387584,0.7729315,0.5740257,0.4209871,0.7514768,0.1597847,0.3856159,0.6559885,0.1566258,0.3042305,0.7508261,0.1587999,0.3666786,0.4089218,0.5767473,0.3809899,0.2905942,0.5980644,0.3093853,0.306688,0.5868457,0.3392629,0.3917499,0.2143872,0.3540235,0.2682064,0.2088794,0.2846004,0.2915768,0.2251823,0.3655735,0.891071,0.4506112,0.3491181,0.8878451,0.2544576,0.3409406,1.182393,0.7283402,0.257938,1.1904473,0.697706,0.3379761,0.9969804,0.5507547,0.3185606,0.9630612,0.6167598,0.284436,1.188735,-0.0423323,0.2130327,1.1823827,-0.0031869,0.3502825,1.0179456,0.1249924,0.3270875,0.9689434,0.077496
6,0.0833333,0.36539,1.3913886,0.34421,0.39212,1.3931986,0.52554,0.32067,1.1945786,0.6918,0.32486,0.9940286,0.59323,0.36346,1.3861186,0.15192,0.28059,1.2036986,0.00325,0.33632,1.0035786,0.0818,0.39446,0.9131586,0.35117,0.41198,0.9164786,0.46222,0.38831,0.5189586,0.49523,0.33957,0.1282186,0.53896,0.38638,0.9105886,0.23563,0.35806,0.5165486,0.26949,0.3339,0.1212686,0.29681,0.47437,0.0738386,0.23584,0.46786,0.0743586,0.23714,0.29755,0.0839086,0.31776,0.4847,0.0839486,0.58501,0.48081,0.0854386,0.58387,0.31247,0.0991786,0.5309,0.47664,0.978695,0.5115192,0.4481965,0.9731393,0.1840153,0.2405717,0.9925437,0.4271468,0.2298354,0.9898695,0.2990875,0.3820804,0.5244476,0.5627124,0.397101,0.5129385,0.4417328,0.326162,0.1331323,0.5796119,0.3591158,0.1259117,0.4955032,0.4678415,0.0910861,0.5683203,0.4180934,0.0923734,0.6162497,0.2669789,0.099467,0.5186261,0.3495119,0.5118308,0.2075606,0.3844506,0.5214541,0.3252812,0.3070558,0.1190975,0.2597016,0.3529478,0.1274002,0.3360983,0.4554617,0.0853998,0.2524989,0.2578172,0.0929305,0.3310728,0.3970739,0.076979,0.2128712,0.3942791,1.4522216,0.5285098,0.3657542,1.4485771,0.1629349,0.2746556,1.4689672,0.3549054,0.4551705,0.7679524,0.5556312,0.4211552,0.674432,0.5809584,0.3371132,0.7723667,0.577067,0.4191304,0.7509359,0.159335,0.3832539,0.6555339,0.1565088,0.3011957,0.7502835,0.1582968,0.365962,0.4088451,0.5785708,0.3808132,0.2909903,0.5995441,0.308442,0.3069151,0.5888751,0.3366775,0.391989,0.2159625,0.3524597,0.268847,0.2105628,0.2822936,0.2914117,0.22674,0.3638082,0.8904342,0.451995,0.3465415,0.8872329,0.2544025,0.3433382,1.1820233,0.7302888,0.2589333,1.1901585,0.7012228,0.3365589,0.9988494,0.549723,0.3188203,0.9634265,0.6174905,0.2860567,1.1903763,-0.0426072,0.2144126,1.1832036,-0.0046293,0.3480749,1.017718,0.1264172,0.3267172,0.9694661,0.077123
7,0.1,0.36485,1.3922086,0.34119,0.39217,1.3940286,0.52138,0.3205,1.1937286,0.69084,0.32043,0.9937786,0.58914,0.36206,1.3868886,0.15018,0.28087,1.2036686,0.00046,0.33418,1.0029086,0.07963,0.39394,0.9136086,0.34872,0.41174,0.9178686,0.45956,0.38996,0.5201286,0.49287,0.33987,0.1271886,0.54039,0.38559,0.9099686,0.23342,0.35713,0.5154386,0.26875,0.33321,0.1198786,0.2964,0.4764,0.0744786,0.23642,0.46967,0.0751286,0.23769,0.29643,0.0817986,0.31614,0.48753,0.0852186,0.58266,0.48353,0.0867886,0.5817,0.31159,0.0959786,0.53537,0.476863,0.9795786,0.5098837,0.4467347,0.9739109,0.1804471,0.240095,0.9921279,0.4259024,0.22867,0.9894502,0.2970495,0.3833622,0.524451,0.561851,0.3976376,0.5130597,0.4392105,0.3273972,0.1342397,0.5786782,0.3600421,0.1271125,0.493649,0.4690122,0.0921115,0.5661205,0.4190171,0.0938155,0.6146682,0.2675096,0.1011881,0.5179473,0.348442,0.5116236,0.2053622,0.3832844,0.521621,0.324201,0.3080705,0.1192647,0.2580233,0.3538731,0.1278946,0.3348149,0.4562479,0.0867588,0.2510375,0.2586072,0.0932378,0.3296997,0.3981324,0.0777846,0.2114536,0.3952995,1.450313,0.5264836,0.3647083,1.4478715,0.1593927,0.274776,1.4677323,0.3525908,0.4571652,0.7677836,0.5545427,0.422962,0.6743695,0.5802471,0.3378193,0.7725997,0.5768799,0.4192229,0.7505563,0.1560812,0.3828812,0.6551669,0.1534302,0.2999969,0.7501447,0.1547844,0.3671628,0.4094089,0.5773529,0.3823574,0.2918428,0.5980754,0.3094441,0.307566,0.5884465,0.3361916,0.3922146,0.2141476,0.3528477,0.2693593,0.20873,0.2820823,0.2911608,0.2249788,0.3638264,0.8907083,0.4502457,0.3455509,0.8874253,0.251481,0.345931,1.1828014,0.7286368,0.2612528,1.1911789,0.7013624,0.3353964,1.0010959,0.5459638,0.3185097,0.9648029,0.6150919,0.2879207,1.1924242,-0.0458103,0.2164662,1.1843962,-0.0089351,0.3464935,1.0177931,0.1237449,0.3266067,0.9702307,0.074036
8,0.1166667,0.36345,1.3922886,0.33899,0.39231,1.3947486,0.51827,0.3216,1.1963286,0.6884,0.32481,0.9968886,0.5887,0.35899,1.3862686,0.14888,0.2761,1.2011386,0.00121,0.33268,1.0054086,0.07761,0.39368,0.9153486,0.34409,0.41115,0.9195386,0.45619,0.39445,0.5224586,0.48965,0.33945,0.1294386,0.54086,0.3858,0.9119186,0.2275,0.35528,0.5135986,0.26721,0.333,0.1181586,0.29763,0.47319,0.0726986,0.2368,0.46651,0.0734086,0.23814,0.29728,0.0794686,0.31755,0.48647,0.0855686,0.58122,0.48228,0.0869886,0.58051,0.31238,0.0986086,0.53357,0.4771682,0.9816982,0.5055676,0.4454955,0.9758126,0.1749345,0.2399401,0.9931883,0.4225215,0.2279034,0.9904416,0.2931762,0.3852788,0.5258598,0.5587129,0.3988203,0.514758,0.4349527,0.3284023,0.1364268,0.576135,0.3606983,0.1295002,0.4904581,0.4697026,0.0936997,0.5625572,0.4195164,0.0960462,0.6115031,0.2678599,0.1043439,0.5158433,0.3473401,0.5121624,0.2015771,0.382204,0.5226097,0.3211504,0.3087599,0.1202804,0.255455,0.3544782,0.1293073,0.3324262,0.4566587,0.088462,0.2484811,0.2591642,0.0946264,0.3274479,0.3988016,0.0791775,0.2091509,0.3959591,1.449945,0.5221407,0.3637857,1.4483703,0.154207,0.2749236,1.4678296,0.3485148,0.4591941,0.769125,0.5508175,0.4250337,0.6757095,0.5769687,0.3390083,0.7740403,0.5740591,0.4193372,0.750981,0.1511827,0.3824864,0.6555822,0.1488035,0.2989569,0.751125,0.1498021,0.3687392,0.411168,0.5741508,0.3838904,0.2936925,0.5947286,0.3106744,0.3094615,0.5860553,0.3356154,0.3932171,0.2109085,0.3529648,0.2706707,0.2056803,0.2818021,0.291676,0.2220644,0.3641197,0.8923632,0.4461657,0.3449134,0.8889291,0.246668,0.3484891,1.1850221,0.7253793,0.2639144,1.1933398,0.7000688,0.3356745,1.0045077,0.5414708,0.3196262,0.9674492,0.6114877,0.2868409,1.1945478,-0.049427,0.2159409,1.1855832,-0.0128666,0.3445269,1.0193749,0.1198959,0.3256496,0.9718002,0.0704561
