squat1_open cap,Rknee_sagital_angle,Max_knee_flexion_angle,squat2_open cap,Rknee_sagital_angle,Max_knee_flexion_angle,squat3_open cap,Rknee_sagital_angle,Max_knee_flexion_angle,squat1_tracker,Rknee_sagital_angle,Max_knee_flexion_angle,squat2_tracker,Rknee_sagital_angle,Max_knee_flexion_angle,squat3_tracker,Rknee_sagital_angle,Max_knee_flexion_angle
,141.52563246920874,89.79411798,,150.8551503,87.21411467,,144.09584530261412,82.56240283,,146.559,105.8054031,,148.704,102.7419746,,144.577,97.09434546
,139.7684820514067,,,148.903099,,,142.06717479331354,,,143.226,,,145.612,,,140.794,
,137.99606896081852,,,146.8382477,,,139.93582881791764,,,139.849,,,141.481,,,138.1,
,136.19683475215683,,,144.6988068,,,137.74065815523085,,,136.894,,,138.809,,,134.644,
,134.36174542509735,,,142.5351147,,,135.5360712231364,,,134.69,,,135.033,,,131.028,
,132.49037175306003,,,140.398339,,,133.37421900286824,,,132.07,,,132.419,,,128.358,
,130.59275224904857,,,138.3283182,,,131.2891428,,,129.447,,,129.588,,,125.77,
,128.68586116087675,,,136.3449444,,,129.29075364329935,,,127.266,,,127.303,,,122.353,
,126.78758715430723,,,134.4461027,,,127.37062720725879,,,124.826,,,124.581,,,120.631,
,124.91210820425277,,,132.6121279,,,125.51501623347158,,,123.066,,,122.442,,,116.473,
,123.06793230602992,,,130.8142951,,,123.71723541426135,,,120.509,,,120.176,,,114.927,
,121.25727900601882,,,129.024481,,,121.98275173890542,,,119.077,,,118.44,,,113.347,
,119.47589118014173,,,127.2240494,,,120.32463003993419,,,116.876,,,116.335,,,112.31,
,117.71459539072848,,,125.4104215,,,118.75218686213319,,,114.913,,,114.057,,,110.62,
,115.96457586065102,,,123.5992809,,,117.25947559207827,,,113.609,,,112.038,,,109.64,
,114.22599972518677,,,121.8205038,,,115.82071119885086,,,111.958,,,109.668,,,107.837,
,112.51640552097092,,,120.107993,,,114.39626072281933,,,110.818,,,107.959,,,106.251,
,110.87410886924769,,,118.4868824,,,112.94683151957616,,,109.176,,,106.702,,,104.966,
,109.353307,,,116.963814,,,111.44875690648564,,,107.302,,,104.821,,,103.461,
,108.01010449844355,,,115.5251075,,,109.90332171994552,,,106.933,,,104.452,,,101.375,
,106.88188110015687,,,114.143532,,,108.33753923651588,,,106.156,,,103.2,,,100.008,
,105.96656432241372,,,112.7898449,,,106.7985643770958,,,106.136,,,102.976,,,98.8598,
,105.21134239328666,,,111.4434215,,,105.34521025313788,,,105.805,,,102.742,,,97.431,
,104.51860266416202,,,110.0976087,,,104.03786710182825,,,106.463,,,103.066,,,97.2422,
,103.7701771633962,,,108.7584518,,,102.9259749965178,,,106.667,,,103.019,,,97.476,
,102.86305840707618,,,107.4387697,,,102.03343850539054,,,107.266,,,103.278,,,97.3392,
,101.74398579140683,,,106.1513691,,,101.34664114246175,,,108.331,,,103.873,,,97.0943,
,100.4283532683711,,,104.9041121,,,100.81239537752523,,,109.77,,,104.37,,,98.2364,
,98.99330483528786,,,103.6970322,,,100.34972504211393,,,111.176,,,104.569,,,98.4808,
,97.54696721014659,,,102.520844,,,99.87129551423496,,,112.7,,,105.947,,,99.4597,
