PathFileType  4,(X/Y/Z) /workspace/Data/f8309750-3477-4e6d-af18-fc73a77fa520/MarkerData/PostAugmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,335,63,m,60,1,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,r.ASIS_study,,,L.ASIS_study,,,r.PSIS_study,,,L.PSIS_study,,,r_knee_study,,,r_mknee_study,,,r_ankle_study,,,r_mankle_study,,,r_toe_study,,,r_5meta_study,,,r_calc_study,,,L_knee_study,,,L_mknee_study,,,L_ankle_study,,,L_mankle_study,,,L_toe_study,,,L_calc_study,,,L_5meta_study,,,r_shoulder_study,,,L_shoulder_study,,,C7_study,,,r_thigh1_study,,,r_thigh2_study,,,r_thigh3_study,,,L_thigh1_study,,,L_thigh2_study,,,L_thigh3_study,,,r_sh1_study,,,r_sh2_study,,,r_sh3_study,,,L_sh1_study,,,L_sh2_study,,,L_sh3_study,,,RHJC_study,,,LHJC_study,,,r_lelbow_study,,,r_melbow_study,,,r_lwrist_study,,,r_mwrist_study,,,L_lelbow_study,,,L_melbow_study,,,L_lwrist_study,,,L_mwrist_study,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.31495,1.388979,-0.11379,0.34279,1.400259,0.04603,0.6184,1.288449,0.04117,0.52597,1.344049,-0.20611,0.30601,1.375019,-0.27504,0.56283,1.245059,-0.29312,0.57487,1.318519,-0.1131,0.41987,0.851029,-0.11192,0.43007,0.857489,0.00799,0.38618,0.459569,0.09387,0.38144,0.072949,0.19123,0.41937,0.845879,-0.23193,0.36723,0.441579,-0.28734,0.33506,0.061159,-0.36436,0.46466,0.015759,-0.47001,0.46106,0.017789,-0.46698,0.30261,0.026999,-0.34686,0.53561,0.030399,0.25797,0.53058,0.031899,0.25612,0.34257,0.036009,0.18643,0.4893043,0.920263,0.0430819,0.4755775,0.9125259,-0.2795586,0.2548467,0.9396797,-0.0331499,0.2500047,0.9357689,-0.1599433,0.3906092,0.4751677,0.1676091,0.4165372,0.4555234,0.043509,0.3511932,0.09086,0.2396539,0.3917924,0.0748247,0.1465289,0.5171617,0.0363007,0.2484068,0.4620656,0.0486864,0.2974502,0.2914237,0.0566886,0.1692718,0.3506547,0.4583463,-0.3441368,0.3943831,0.450348,-0.2372612,0.2938395,0.0666046,-0.3997373,0.3483483,0.0612808,-0.3266779,0.4464482,0.0237582,-0.4355272,0.2545949,0.0329977,-0.325814,0.38215,0.0298659,-0.4734618,0.330721,1.4357324,0.0450293,0.320774,1.4246677,-0.293904,0.2199811,1.4347708,-0.1147704,0.4670593,0.720503,0.1262256,0.4298622,0.6277111,0.1648537,0.3474752,0.7193059,0.1380246,0.4335234,0.7009375,-0.3348442,0.391045,0.607023,-0.35819,0.316383,0.7026406,-0.325234,0.3827639,0.3607503,0.2036089,0.4031457,0.2459829,0.2423431,0.3250333,0.263151,0.2288019,0.3312246,0.3413136,-0.375415,0.3403455,0.2215829,-0.4162175,0.2764945,0.2409517,-0.3842345,0.3866619,0.8281459,-0.0110939,0.3782793,0.8238712,-0.2057536,0.6380733,1.2767087,0.0567261,0.6020438,1.2155424,-0.0032318,0.4940243,1.3448601,-0.1867509,0.5649165,1.3300921,-0.2279698,0.5632161,1.2516171,-0.3298564,0.5392409,1.1982832,-0.280875,0.5503674,1.3234147,-0.0929295,0.6134205,1.3011373,-0.0907237
2,0.0166667,0.31486,1.388729,-0.11352,0.34367,1.400379,0.04695,0.61836,1.288019,0.04123,0.5274,1.343519,-0.20534,0.30516,1.374389,-0.27549,0.56247,1.244749,-0.29121,0.58053,1.317999,-0.11448,0.41896,0.854339,-0.11216,0.42925,0.860539,0.00814,0.38572,0.461309,0.09375,0.38188,0.072029,0.19156,0.41846,0.849159,-0.23259,0.36685,0.442019,-0.28754,0.33379,0.061289,-0.36504,0.46381,0.016169,-0.47085,0.46028,0.018169,-0.46785,0.30233,0.027009,-0.34797,0.53639,0.030969,0.25779,0.53139,0.032439,0.25594,0.34285,0.034619,0.18648,0.4912173,0.922643,0.0447356,0.4781544,0.9153455,-0.2777453,0.2580023,0.9483079,-0.0357393,0.2541324,0.9446791,-0.1625041,0.3857546,0.4797086,0.1609064,0.4144476,0.457058,0.0430981,0.3512368,0.0847621,0.2314745,0.3938995,0.0685847,0.1466339,0.5154299,0.0355822,0.2418581,0.4549492,0.0468412,0.2868721,0.2954256,0.0478146,0.167627,0.3535617,0.4561145,-0.3447827,0.4043565,0.4433586,-0.2398489,0.3031029,0.0638293,-0.3975569,0.36137,0.0563748,-0.329973,0.457865,0.023436,-0.4422473,0.2647547,0.0267833,-0.3244721,0.3885425,0.0318853,-0.4730845,0.3294909,1.4432819,0.0440603,0.3167779,1.4372469,-0.284918,0.2151757,1.4429761,-0.1106072,0.4635459,0.7256718,0.1236515,0.4248519,0.6327552,0.159794,0.3422488,0.7260711,0.1296318,0.4267713,0.7026691,-0.3370318,0.3870911,0.6085049,-0.3595068,0.311708,0.7078783,-0.3233177,0.3752365,0.3665564,0.1951593,0.3957967,0.2519417,0.2329572,0.3217693,0.2588993,0.2172955,0.3362017,0.3393154,-0.3715009,0.3451929,0.2217579,-0.4133697,0.2826081,0.2376502,-0.3792032,0.3845092,0.8319984,-0.0122556,0.3764492,0.8278083,-0.2071456,0.6500053,1.3021366,0.0516643,0.609722,1.2261674,0.0117325,0.4846074,1.3535162,-0.1787183,0.5627149,1.3491386,-0.2270249,0.5852566,1.2615461,-0.3346545,0.5479246,1.1894342,-0.2895432,0.5445356,1.3381739,-0.1014467,0.6147501,1.3121276,-0.0866425
3,0.0333333,0.31199,1.389659,-0.11371,0.3394,1.401699,0.04462,0.61861,1.288499,0.04016,0.53237,1.342299,-0.20896,0.30323,1.375289,-0.27348,0.57014,1.246709,-0.29126,0.58033,1.316739,-0.11396,0.4191,0.852749,-0.11276,0.42895,0.858869,0.0073,0.38664,0.460129,0.09499,0.3799,0.070329,0.19131,0.41896,0.847849,-0.23292,0.36754,0.442019,-0.28747,0.33432,0.060739,-0.36469,0.46366,0.015729,-0.4704,0.4601,0.017789,-0.46734,0.30339,0.027359,-0.34716,0.53598,0.030679,0.25787,0.53101,0.032149,0.25604,0.3415,0.034019,0.18541,0.4951398,0.9213288,0.0475641,0.4822559,0.9154733,-0.2795157,0.2571831,0.9485939,-0.0372356,0.2531431,0.9456265,-0.1654905,0.3822196,0.4772085,0.1604756,0.4121983,0.453759,0.040533,0.3528861,0.0812652,0.2313666,0.3969462,0.0649755,0.1476711,0.5148583,0.031759,0.241386,0.4546282,0.0431982,0.287032,0.2990346,0.0440041,0.1679215,0.3526727,0.4557202,-0.3479025,0.407576,0.4410402,-0.2391028,0.3038963,0.0623741,-0.3969428,0.3658266,0.0527661,-0.3290534,0.460289,0.0201449,-0.4429291,0.2671179,0.0254407,-0.3223031,0.3881457,0.0286884,-0.4727432,0.3300447,1.4451626,0.0467666,0.3113909,1.4375969,-0.2841857,0.2113684,1.4430469,-0.1091376,0.4624283,0.7224644,0.124438,0.4227324,0.6299357,0.1608402,0.338677,0.724082,0.131554,0.4268205,0.7046602,-0.3443004,0.3857472,0.6101235,-0.3656379,0.3065413,0.7082946,-0.3280593,0.3721527,0.3637859,0.193117,0.3945151,0.2487669,0.2323542,0.3199886,0.2561454,0.2151749,0.3349489,0.3400098,-0.3721378,0.3448733,0.2224513,-0.4137465,0.2804847,0.2369096,-0.3784175,0.3827876,0.8296189,-0.0121214,0.3748703,0.8262624,-0.2096597,0.6558872,1.3116281,0.0469334,0.6126297,1.2281167,0.0198333,0.4817848,1.3527733,-0.1781305,0.5618585,1.3495378,-0.2240057,0.5984424,1.2645476,-0.3410352,0.5570212,1.1805211,-0.2982112,0.5446611,1.3421576,-0.1019738,0.6189594,1.3160254,-0.0788045
4,0.05,0.3166,1.388259,-0.11239,0.34773,1.401349,0.04806,0.61437,1.289159,0.03994,0.52889,1.341449,-0.20979,0.30475,1.373179,-0.27453,0.56593,1.242449,-0.29831,0.56584,1.313819,-0.09913,0.42069,0.848439,-0.1129,0.43273,0.855209,0.00792,0.3846,0.459479,0.09278,0.38038,0.072509,0.18987,0.41862,0.842899,-0.23384,0.36637,0.440139,-0.28855,0.33503,0.062749,-0.36294,0.46415,0.015629,-0.47012,0.46058,0.017659,-0.46706,0.30302,0.028269,-0.3451,0.53575,0.031409,0.25779,0.53047,0.032799,0.25581,0.34264,0.036589,0.18574,0.4998209,0.9170083,0.0506836,0.4845655,0.9115328,-0.2812829,0.2591676,0.9446551,-0.0369749,0.2540089,0.9418573,-0.1670544,0.3802967,0.4728423,0.1607225,0.4107611,0.4481057,0.0391041,0.3548315,0.0789378,0.2335464,0.3994868,0.0615563,0.1502904,0.5161401,0.0296411,0.243629,0.4559417,0.0404019,0.2889491,0.3015042,0.0401781,0.1709598,0.3480967,0.4535581,-0.3487641,0.4056177,0.4375645,-0.2385287,0.3023008,0.0613317,-0.3968108,0.3666829,0.0505654,-0.3294998,0.4581183,0.0177951,-0.4460245,0.2674407,0.0240092,-0.3209025,0.3853984,0.0256475,-0.474171,0.3345908,1.4416416,0.0486824,0.3062155,1.4352511,-0.2841864,0.2109234,1.4389976,-0.1076178,0.4631286,0.7171322,0.1261731,0.4224779,0.6253093,0.1621681,0.338582,0.7207405,0.1330388,0.4257776,0.7021729,-0.3490897,0.3828481,0.6079928,-0.3690845,0.3026445,0.7058157,-0.3303391,0.3712732,0.3601731,0.1925692,0.3948431,0.2457409,0.2328172,0.3200414,0.2533404,0.2156668,0.3307084,0.339089,-0.3723253,0.3419598,0.2223496,-0.4144907,0.2760728,0.2354688,-0.3772105,0.3842108,0.8251395,-0.0112332,0.3748545,0.8220106,-0.2116243,0.6580607,1.3143171,0.0406717,0.6168405,1.2267057,0.0262362,0.481198,1.3454896,-0.1810282,0.5593212,1.3403712,-0.2265054,0.6009683,1.2631234,-0.341982,0.5602272,1.1728844,-0.3055905,0.5378048,1.3374278,-0.0985228,0.6122922,1.3094487,-0.0684539
5,0.0666667,0.3143,1.388659,-0.11256,0.34463,1.400859,0.04782,0.6179,1.287009,0.04099,0.53261,1.341239,-0.20923,0.3031,1.373769,-0.27454,0.57236,1.246229,-0.29603,0.56626,1.318859,-0.10038,0.41945,0.852729,-0.11374,0.43065,0.859569,0.00649,0.38572,0.460999,0.09483,0.38274,0.073349,0.19044,0.41805,0.846979,-0.2341,0.36638,0.440769,-0.28799,0.33324,0.060029,-0.36483,0.46433,0.015649,-0.47096,0.46081,0.017669,-0.46796,0.30171,0.025849,-0.34696,0.53644,0.030629,0.25692,0.53138,0.032089,0.25503,0.34355,0.036239,0.18576,0.5005105,0.9211448,0.0530707,0.4844911,0.9162534,-0.2833555,0.2576612,0.9494555,-0.0382324,0.2521679,0.9467599,-0.1700223,0.3768264,0.4762902,0.1605766,0.4074704,0.4509115,0.0370483,0.3543876,0.0837751,0.2326682,0.3992924,0.0658096,0.1495256,0.5151486,0.0347707,0.2426213,0.4556969,0.0449516,0.2875001,0.3009647,0.044238,0.1701623,0.3434781,0.4578504,-0.3497375,0.401099,0.4415955,-0.2367497,0.3000026,0.0664696,-0.3980786,0.3648235,0.0553082,-0.329957,0.4557405,0.0230031,-0.4473193,0.2651611,0.0288293,-0.3217963,0.3830635,0.0298056,-0.4757694,0.334848,1.446314,0.0506165,0.3015788,1.4416224,-0.2846798,0.2082851,1.4435767,-0.1071678,0.4616214,0.720072,0.1272588,0.420267,0.6286344,0.1630558,0.3358631,0.7252141,0.1341942,0.4243945,0.7065129,-0.3533927,0.3801539,0.612397,-0.3725431,0.299176,0.7105603,-0.3343073,0.3685039,0.3641624,0.1912549,0.3931001,0.2500644,0.2317096,0.3179574,0.2578815,0.2145455,0.3264517,0.3442841,-0.3728766,0.3389621,0.2280483,-0.4156628,0.2718465,0.2401746,-0.377807,0.382473,0.8292498,-0.0112796,0.3726369,0.8264352,-0.2143005,0.657224,1.3171036,0.0368572,0.617567,1.2268029,0.0314472,0.4840123,1.3430762,-0.1836257,0.5587305,1.3340281,-0.2277633,0.5998168,1.2678461,-0.3414307,0.5610105,1.1756666,-0.3103412,0.5318145,1.3398155,-0.0974203,0.6042426,1.3093626,-0.0622378
6,0.0833333,0.31725,1.388709,-0.11341,0.34704,1.402029,0.04717,0.6148,1.288289,0.03944,0.5282,1.340849,-0.21169,0.30673,1.373429,-0.2756,0.56464,1.242259,-0.29907,0.57152,1.311989,-0.09886,0.42003,0.850689,-0.11402,0.43182,0.856509,0.00672,0.38524,0.461819,0.09401,0.37943,0.071559,0.19001,0.41821,0.845909,-0.23482,0.36577,0.440339,-0.2882,0.33439,0.062429,-0.36365,0.46377,0.015539,-0.47182,0.46033,0.017629,-0.46881,0.30392,0.028089,-0.34634,0.53618,0.031969,0.25783,0.53091,0.033309,0.25585,0.34155,0.035319,0.18579,0.5022819,0.9191732,0.0550388,0.485365,0.9147444,-0.2851479,0.2583427,0.9480397,-0.038189,0.2524352,0.9455119,-0.1714369,0.3762,0.4738856,0.1608379,0.4063036,0.4484907,0.0358165,0.3554974,0.0826667,0.2315361,0.400074,0.0646092,0.1481947,0.5162288,0.0341396,0.241018,0.4571347,0.0436745,0.2858147,0.3015737,0.0427916,0.169069,0.3418454,0.4558056,-0.3499034,0.3999131,0.4392542,-0.2349875,0.3006169,0.0660117,-0.3980254,0.3658882,0.0545863,-0.3293212,0.4560812,0.0221127,-0.4478477,0.2658572,0.0287257,-0.3212503,0.3834804,0.0283317,-0.4762904,0.3372016,1.4439298,0.0526605,0.2996073,1.4406277,-0.2846761,0.2086537,1.4416349,-0.1059942,0.4626183,0.7169184,0.1286593,0.4207567,0.625847,0.1642366,0.3361931,0.7230961,0.1356689,0.4250758,0.7046109,-0.3560791,0.3798097,0.6104902,-0.3745881,0.2979506,0.7088233,-0.3367036,0.3682535,0.3623175,0.1904565,0.3934833,0.2484868,0.2306336,0.3182851,0.2563799,0.2138314,0.325237,0.3431674,-0.3726561,0.3387783,0.2276013,-0.415734,0.2708001,0.2389726,-0.3774985,0.3829733,0.8269828,-0.0106242,0.3726011,0.8244352,-0.2158873,0.6559626,1.3132255,0.0344437,0.6172764,1.2210551,0.0338201,0.4870001,1.3364274,-0.1851299,0.5589232,1.3233525,-0.2281518,0.5964302,1.2644929,-0.341756,0.5579926,1.1716333,-0.3134736,0.5311535,1.3349675,-0.0960869,0.6014428,1.3005554,-0.0589756
7,0.1,0.31581,1.388669,-0.11354,0.34548,1.402129,0.04691,0.61574,1.288259,0.03985,0.53117,1.340899,-0.21018,0.30539,1.373219,-0.2756,0.56269,1.241409,-0.29893,0.57594,1.311989,-0.10111,0.4208,0.852379,-0.1127,0.43229,0.858369,0.00792,0.38516,0.461099,0.09365,0.37854,0.070409,0.19038,0.41925,0.847429,-0.23341,0.36542,0.440589,-0.28854,0.33469,0.062479,-0.36338,0.46464,0.016229,-0.47135,0.46115,0.018289,-0.46834,0.3041,0.028859,-0.3462,0.53673,0.032299,0.25805,0.53142,0.033619,0.25611,0.3412,0.034889,0.18494,0.5038377,0.9208944,0.0582537,0.4866075,0.9170059,-0.2851284,0.258979,0.9501365,-0.0365452,0.2529319,0.9477956,-0.1710475,0.3753905,0.4748106,0.1625003,0.4052414,0.4496189,0.0362716,0.355448,0.084243,0.2320945,0.3998636,0.0663151,0.1486101,0.5166122,0.0361757,0.2417333,0.4574542,0.0454012,0.2862092,0.3010217,0.0442118,0.1695611,0.3405826,0.4568583,-0.3487495,0.3989889,0.4402323,-0.2321727,0.300805,0.068474,-0.3968375,0.3663962,0.0569221,-0.3275826,0.4564864,0.0238503,-0.4468481,0.2659787,0.0316019,-0.3197128,0.3838041,0.0298493,-0.4754011,0.3387216,1.4453413,0.0554022,0.2984249,1.4432441,-0.2836587,0.208782,1.4434039,-0.1040239,0.4633271,0.7174071,0.1314132,0.4209006,0.6265167,0.1667621,0.3363194,0.7243694,0.1384657,0.4258308,0.7056561,-0.3570074,0.3796566,0.6115672,-0.3750127,0.2972885,0.7105156,-0.3372619,0.3674866,0.3636995,0.1913847,0.3929383,0.2500528,0.2312482,0.3178186,0.257674,0.2147616,0.3242195,0.3449856,-0.3712875,0.3384243,0.2299479,-0.4147285,0.2698806,0.2407267,-0.3760092,0.3835432,0.8284268,-0.008492,0.3729781,0.8261732,-0.2156767,0.6548557,1.3118607,0.0351697,0.6169877,1.2183468,0.0367331,0.4910161,1.3347581,-0.1852303,0.5617763,1.3180679,-0.2265167,0.593605,1.2631199,-0.3424432,0.5547816,1.1704149,-0.3145028,0.5335403,1.3342781,-0.0955955,0.6020698,1.2960847,-0.0577456
8,0.1166667,0.3169,1.388739,-0.1132,0.34675,1.402019,0.04721,0.61508,1.288419,0.03968,0.52946,1.340839,-0.21036,0.30628,1.373499,-0.27522,0.56497,1.242539,-0.30106,0.57318,1.311649,-0.1018,0.41983,0.851799,-0.11337,0.43186,0.857639,0.00737,0.38492,0.460679,0.09366,0.3786,0.070579,0.19034,0.4178,0.846959,-0.23422,0.3657,0.440619,-0.28867,0.33468,0.063469,-0.36292,0.46452,0.016439,-0.47132,0.46108,0.018489,-0.46833,0.30432,0.029569,-0.34559,0.53706,0.032149,0.2576,0.53181,0.033509,0.25568,0.34094,0.034969,0.18553,0.5033907,0.9203246,0.0589524,0.486023,0.9169221,-0.2868109,0.2580358,0.9501797,-0.0367672,0.2519452,0.9480137,-0.1722193,0.3737804,0.4736542,0.1622438,0.4032721,0.448891,0.035,0.3543156,0.083612,0.2309238,0.3985515,0.0659904,0.1472671,0.5158727,0.0360529,0.2405089,0.4566844,0.0448943,0.2848662,0.2995025,0.0437491,0.1683234,0.3385803,0.4557199,-0.3494362,0.3972866,0.4390888,-0.2312512,0.3002266,0.06857,-0.3972203,0.3660521,0.0570042,-0.3273418,0.4560526,0.0233616,-0.4472254,0.2653126,0.0323149,-0.3197991,0.3834023,0.029369,-0.4759902,0.33895,1.4445313,0.0558926,0.2966787,1.4432668,-0.28403,0.208245,1.4431248,-0.1037508,0.4626935,0.7158104,0.1318347,0.4199258,0.6250226,0.1671124,0.335144,0.7232861,0.1391041,0.4252,0.7046135,-0.3594313,0.3784048,0.6105095,-0.3770608,0.2953722,0.7098641,-0.3395119,0.3657714,0.3629175,0.190595,0.391413,0.2493389,0.2302006,0.3163982,0.2567985,0.2139454,0.3225392,0.34449,-0.3716584,0.3373602,0.2299007,-0.4153221,0.2683126,0.2401954,-0.3763342,0.3824092,0.8276409,-0.0085165,0.3717661,0.8256578,-0.2171526,0.6533741,1.309841,0.0346987,0.616201,1.2153856,0.0371638,0.4914249,1.3340589,-0.1865773,0.5625866,1.3148005,-0.2268712,0.5917259,1.2615737,-0.3450602,0.5529371,1.1686559,-0.3166121,0.5337289,1.3335888,-0.0973094,0.6014223,1.2930868,-0.0586833
