,Hip,,,Knee,,,Ankle,
t,x,y,t,x,y,t,x,y
0,0.6302,1.4553,0,0.6413,0.8897,0,0.6689,0.2602
0.0333,0.6331,1.4543,0.0333,0.6413,0.8897,0.0333,0.6689,0.2602
0.0667,0.6331,1.4543,0.0667,0.6413,0.8897,0.0667,0.6689,0.2602
0.1,0.6331,1.4543,0.1,0.6413,0.8897,0.1,0.6689,0.2602
0.1333,0.6312,1.4553,0.1333,0.6413,0.8897,0.1333,0.6689,0.2602
0.1667,0.6312,1.4553,0.1667,0.6413,0.8897,0.1667,0.6679,0.2602
0.2,0.6283,1.4553,0.2,0.6413,0.8897,0.2,0.6679,0.2602
0.2333,0.6273,1.4553,0.2333,0.6407,0.8897,0.2333,0.6679,0.2602
0.2667,0.6273,1.4553,0.2667,0.6407,0.8897,0.2667,0.6679,0.2602
0.3,0.6273,1.4553,0.3,0.6401,0.8897,0.3,0.6679,0.2602
0.3333,0.6254,1.4553,0.3333,0.6389,0.8897,0.3333,0.6679,0.2602
0.3667,0.6254,1.4553,0.3667,0.6389,0.8897,0.3667,0.6679,0.2602
0.4,0.6254,1.4553,0.4,0.6389,0.8897,0.4,0.6679,0.2602
0.4333,0.6254,1.4553,0.4333,0.6389,0.8897,0.4333,0.6679,0.2602
0.4667,0.6235,1.4553,0.4667,0.6389,0.8897,0.4667,0.6679,0.2602
0.5,0.6225,1.4553,0.5,0.6389,0.8897,0.5,0.6679,0.2602
0.5333,0.6225,1.4553,0.5333,0.6389,0.8897,0.5333,0.6679,0.2602
0.5667,0.6225,1.4553,0.5667,0.6383,0.8897,0.5667,0.667,0.2602
0.6,0.6225,1.4553,0.6,0.6383,0.8897,0.6,0.667,0.2602
0.6333,0.6235,1.4543,0.6333,0.6383,0.8897,0.6333,0.667,0.2602
0.6667,0.6235,1.4543,0.6667,0.6358,0.8897,0.6667,0.667,0.2602
0.7,0.6235,1.4543,0.7,0.6358,0.8897,0.7,0.667,0.2602
0.7333,0.6235,1.4543,0.7333,0.6358,0.8897,0.7333,0.667,0.2602
0.7667,0.6235,1.4543,0.7667,0.6358,0.8897,0.7667,0.667,0.2602
0.8,0.6235,1.4543,0.8,0.6358,0.8897,0.8,0.667,0.2602
0.8333,0.6235,1.4543,0.8333,0.6358,0.8897,0.8333,0.667,0.2602
0.8667,0.6235,1.4543,0.8667,0.6358,0.8897,0.8667,0.667,0.2602
0.9,0.6254,1.4543,0.9,0.6358,0.8897,0.9,0.667,0.2602
0.9333,0.6293,1.4572,0.9333,0.6358,0.8897,0.9333,0.6689,0.2602
0.9667,0.6293,1.4572,0.9667,0.6358,0.8897,0.9667,0.666,0.2612
1,0.6293,1.4591,1,0.637,0.8909,1,0.666,0.2612
1.0333,0.6341,1.4591,1.0333,0.637,0.8909,1.0333,0.666,0.2612
1.0667,0.6399,1.4611,1.0667,0.637,0.8909,1.0667,0.666,0.2612
1.1,0.6428,1.463,1.1,0.6358,0.8903,1.1,0.666,0.2612
1.1333,0.6486,1.4611,1.1333,0.6322,0.8909,1.1333,0.666,0.2612
1.1667,0.6573,1.462,1.1667,0.6267,0.8909,1.1667,0.666,0.2612
1.2,0.6641,1.4649,1.2,0.623,0.8909,1.2,0.666,0.2612
1.2333,0.6747,1.463,1.2333,0.6145,0.8891,1.2333,0.666,0.2612
1.2667,0.6912,1.463,1.2667,0.606,0.8873,1.2667,0.6652,0.2621
1.3,0.7028,1.4591,1.3,0.5938,0.8848,1.3,0.6652,0.2621
1.3333,0.7144,1.4553,1.3333,0.5847,0.8848,1.3333,0.6637,0.2621
1.3667,0.7279,1.4485,1.3667,0.5834,0.883,1.3667,0.6637,0.2621
1.4,0.7376,1.4456,1.4,0.5816,0.88,1.4,0.6652,0.259
1.4333,0.7472,1.4437,1.4333,0.5755,0.8775,1.4333,0.6652,0.259
1.4667,0.7559,1.4408,1.4667,0.5652,0.8714,1.4667,0.6645,0.2575
1.5,0.7666,1.4272,1.5,0.5554,0.8647,1.5,0.6645,0.2575
1.5333,0.782,1.4031,1.5333,0.5432,0.8568,1.5333,0.6622,0.2567
1.5667,0.7936,1.3799,1.5667,0.5341,0.8489,1.5667,0.6614,0.2559
1.6,0.8052,1.3586,1.6,0.525,0.844,1.6,0.6606,0.2552
1.6333,0.8168,1.3373,1.6333,0.5183,0.8367,1.6333,0.6599,0.2552
1.6667,0.8236,1.3199,1.6667,0.5134,0.8319,1.6667,0.6599,0.2552
1.7,0.8372,1.2996,1.7,0.5104,0.827,1.7,0.6599,0.2552
1.7333,0.8497,1.2793,1.7333,0.5067,0.8215,1.7333,0.6599,0.2536
1.7667,0.8565,1.2619,1.7667,0.5024,0.8166,1.7667,0.6599,0.2536
1.8,0.8623,1.2406,1.8,0.4982,0.8136,1.8,0.6599,0.2536
1.8333,0.871,1.2223,1.8333,0.4982,0.8099,1.8333,0.6599,0.2536
1.8667,0.8797,1.2029,1.8667,0.4945,0.8075,1.8667,0.6599,0.2536
1.9,0.8855,1.1843,1.9,0.4957,0.8038,1.9,0.6599,0.2536
1.9333,0.892,1.1626,1.9333,0.4945,0.8008,1.9333,0.6599,0.2536
