,Hip2,,,Knee2,,,Ankle2,
t,x,y,t,x,y,t,x,y
0,0.8519,1.4405,0,0.8607,0.8782,0,0.8873,0.2504
0.0333,0.8519,1.4405,0.0333,0.8607,0.877,0.0333,0.8873,0.2504
0.0667,0.8519,1.4378,0.0667,0.8607,0.877,0.0667,0.8873,0.2504
0.1,0.8465,1.4378,0.1,0.8607,0.877,0.1,0.8873,0.2504
0.1333,0.8465,1.4378,0.1333,0.8607,0.877,0.1333,0.8873,0.2504
0.1667,0.8465,1.4378,0.1667,0.8607,0.877,0.1667,0.8873,0.2504
0.2,0.8465,1.4378,0.2,0.8607,0.877,0.2,0.8873,0.2504
0.2333,0.8465,1.4378,0.2333,0.8607,0.877,0.2333,0.8873,0.2504
0.2667,0.8465,1.4378,0.2667,0.8607,0.877,0.2667,0.8873,0.2504
0.3,0.8465,1.4378,0.3,0.8607,0.877,0.3,0.8873,0.2504
0.3333,0.8465,1.4378,0.3333,0.8607,0.877,0.3333,0.8873,0.2504
0.3667,0.8465,1.4378,0.3667,0.8607,0.877,0.3667,0.8873,0.2504
0.4,0.8465,1.4378,0.4,0.8607,0.877,0.4,0.8873,0.2504
0.4333,0.8449,1.4369,0.4333,0.8607,0.877,0.4333,0.8873,0.2504
0.4667,0.8449,1.4369,0.4667,0.8607,0.877,0.4667,0.8873,0.2504
0.5,0.8449,1.4393,0.5,0.8607,0.877,0.5,0.8873,0.2504
0.5333,0.8413,1.4393,0.5333,0.8607,0.877,0.5333,0.8873,0.2504
0.5667,0.8413,1.4393,0.5667,0.8594,0.877,0.5667,0.8873,0.2504
0.6,0.8413,1.4393,0.6,0.8594,0.877,0.6,0.8873,0.2504
0.6333,0.8413,1.4393,0.6333,0.8594,0.877,0.6333,0.8873,0.2504
0.6667,0.8413,1.4393,0.6667,0.8594,0.877,0.6667,0.8873,0.2504
0.7,0.8425,1.4393,0.7,0.8594,0.877,0.7,0.8873,0.2504
0.7333,0.8425,1.4393,0.7333,0.8594,0.877,0.7333,0.8873,0.2504
0.7667,0.8437,1.4393,0.7667,0.8594,0.877,0.7667,0.8873,0.2504
0.8,0.8449,1.4393,0.8,0.8594,0.877,0.8,0.8873,0.2504
0.8333,0.8461,1.4393,0.8333,0.8594,0.877,0.8333,0.8873,0.2504
0.8667,0.8461,1.4393,0.8667,0.8594,0.877,0.8667,0.8859,0.2504
0.9,0.851,1.4393,0.9,0.8594,0.877,0.9,0.8859,0.2504
0.9333,0.851,1.4393,0.9333,0.8594,0.877,0.9333,0.8859,0.2504
0.9667,0.851,1.4393,0.9667,0.8594,0.877,0.9667,0.8859,0.2504
1,0.8534,1.4417,1,0.8643,0.877,1,0.8859,0.2504
1.0333,0.8582,1.4417,1.0333,0.8679,0.8757,1.0333,0.8859,0.2504
