,Person 1,Height (m),1.85,Frequency (Hz),1000
,Fz,Weight (N),845.162,,
,N,,,N*-1,
1,-11.8407,,,11.8407,
2,-19.0456,,,19.0456,
3,-24.2082,,,24.2082,
4,-29.2087,,,29.2087,
5,-32.3748,,,32.3748,
6,-35.0006,,,35.0006,
7,-39.1168,,,39.1168,
8,-45.9506,,,45.9506,
9,-54.589,,,54.589,
10,-64.1734,,,64.1734,
11,-70.8191,,,70.8191,
12,-75.0618,,,75.0618,
13,-78.95,,,78.95,
14,-83.7821,,,83.7821,
15,-90.7826,,,90.7826,
16,-100.152,,,100.152,
17,-107.689,,,107.689,
18,-113.043,,,113.043,
19,-116.578,,,116.578,
20,-120.112,,,120.112,
21,-125.809,,,125.809,
22,-134.255,,,134.255,
23,-143.065,,,143.065,
24,-149.503,,,149.503,
25,-155.384,,,155.384,
26,-159.814,,,159.814,
27,-164.067,,,164.067,
28,-168.667,,,168.667,
29,-176.543,,,176.543,
30,-185.35,,,185.35,
31,-192.159,,,192.159,
32,-197.69,,,197.69,
33,-202.469,,,202.469,
34,-207.801,,,207.801,
35,-215.146,,,215.146,
36,-223.228,,,223.228,
37,-230.585,,,230.585,
38,-238.123,,,238.123,
39,-244.008,,,244.008,
40,-249.159,,,249.159,
41,-254.677,,,254.677,
42,-261.098,,,261.098,
43,-268.817,,,268.817,
44,-275.252,,,275.252,
45,-280.937,,,280.937,
46,-285.17,,,285.17,
47,-289.589,,,289.589,
48,-294.365,,,294.365,
49,-299.873,,,299.873,
50,-306.295,,,306.295,
51,-311.621,,,311.621,
52,-317.857,,,317.857,
53,-322.828,,,322.828,
54,-327.811,,,327.811,
55,-334.997,,,334.997,
56,-341.621,,,341.621,
57,-349.516,,,349.516,
58,-356.864,,,356.864,
59,-362.951,,,362.951,
60,-367.932,,,367.932,
61,-372.911,,,372.911,
62,-378.804,,,378.804,
63,-385.974,,,385.974,
64,-392.584,,,392.584,
65,-398.283,,,398.283,
66,-403.256,,,403.256,
67,-406.944,,,406.944,
68,-411.548,,,411.548,
69,-417.053,,,417.053,
70,-422.73,,,422.73,
71,-427.691,,,427.691,
72,-432.657,,,432.657,
73,-435.239,,,435.239,
74,-438.188,,,438.188,
75,-441.859,,,441.859,
76,-445.719,,,445.719,
77,-450.851,,,450.851,
78,-454.348,,,454.348,
79,-458.211,,,458.211,
80,-460.982,,,460.982,
81,-463.376,,,463.376,
82,-465.948,,,465.948,
83,-469.254,,,469.254,
84,-472.934,,,472.934,
85,-475.516,,,475.516,
86,-478.274,,,478.274,
87,-480.845,,,480.845,
88,-483.056,,,483.056,
89,-485.447,,,485.447,
90,-486.74,,,486.74,
91,-490.042,,,490.042,
92,-492.431,,,492.431,
93,-494.641,,,494.641,
94,-496.298,,,496.298,
95,-498.137,,,498.137,
96,-500.34,,,500.34,
97,-502.919,,,502.919,
98,-505.306,,,505.306,
99,-507.869,,,507.869,
100,-508.795,,,508.795,
101,-510.644,,,510.644,
102,-511.754,,,511.754,
103,-514.328,,,514.328,
104,-517.265,,,517.265,
105,-520.024,,,520.024,
106,-520.948,,,520.948,
107,-522.98,,,522.98,
108,-524.642,,,524.642,
109,-526.493,,,526.493,
110,-528.521,,,528.521,
111,-530.909,,,530.909,
112,-534.028,,,534.028,
113,-535.147,,,535.147,
114,-537.176,,,537.176,
115,-538.476,,,538.476,
116,-541.231,,,541.231,
117,-543.252,,,543.252,
118,-546.014,,,546.014,
119,-547.305,,,547.305,
120,-550.256,,,550.256,
121,-552.286,,,552.286,
122,-553.764,,,553.764,
123,-556.337,,,556.337,
124,-558.731,,,558.731,
125,-561.49,,,561.49,
126,-563.149,,,563.149,
127,-565.546,,,565.546,
128,-567.571,,,567.571,
129,-569.784,,,569.784,
130,-571.991,,,571.991,
131,-574.199,,,574.199,
132,-576.96,,,576.96,
133,-580.084,,,580.084,
134,-581.929,,,581.929,
135,-583.767,,,583.767,
136,-585.98,,,585.98,
137,-588.373,,,588.373,
138,-591.134,,,591.134,
139,-593.527,,,593.527,
140,-595.733,,,595.733,
141,-598.495,,,598.495,
142,-600.159,,,600.159,
143,-602.917,,,602.917,
144,-605.862,,,605.862,
145,-608.984,,,608.984,
146,-611.377,,,611.377,
147,-613.218,,,613.218,
148,-614.883,,,614.883,
149,-617.091,,,617.091,
150,-619.67,,,619.67,
151,-623.345,,,623.345,
152,-625.734,,,625.734,
153,-629.591,,,629.591,
154,-630.703,,,630.703,
155,-633.471,,,633.471,
156,-634.765,,,634.765,
157,-640.642,,,640.642,
158,-642.483,,,642.483,
159,-644.878,,,644.878,
160,-648.185,,,648.185,
161,-650.401,,,650.401,
162,-653.163,,,653.163,
163,-655.739,,,655.739,
164,-658.497,,,658.497,
165,-662.538,,,662.538,
166,-665.301,,,665.301,
167,-668.246,,,668.246,
168,-671.188,,,671.188,
169,-674.317,,,674.317,
170,-676.523,,,676.523,
171,-680.018,,,680.018,
172,-683.694,,,683.694,
173,-687.002,,,687.002,
174,-690.129,,,690.129,
175,-692.708,,,692.708,
176,-695.105,,,695.105,
177,-698.231,,,698.231,
178,-701.909,,,701.909,
179,-705.772,,,705.772,
180,-708.531,,,708.531,
181,-712.205,,,712.205,
182,-714.238,,,714.238,
183,-717.735,,,717.735,
184,-721.418,,,721.418,
185,-723.993,,,723.993,
186,-727.485,,,727.485,
187,-730.794,,,730.794,
188,-733.921,,,733.921,
189,-736.872,,,736.872,
190,-740.001,,,740.001,
191,-743.131,,,743.131,
192,-746.26,,,746.26,
193,-749.387,,,749.387,
194,-752.519,,,752.519,
195,-755.465,,,755.465,
196,-757.494,,,757.494,
197,-761.175,,,761.175,
198,-764.123,,,764.123,
199,-767.43,,,767.43,
200,-770.189,,,770.189,
201,-773.135,,,773.135,
202,-776.453,,,776.453,
203,-778.297,,,778.297,
204,-780.511,,,780.511,
205,-784.003,,,784.003,
206,-787.132,,,787.132,
207,-789.891,,,789.891,
208,-792.103,,,792.103,
209,-794.494,,,794.494,
210,-796.341,,,796.341,
211,-799.283,,,799.283,
212,-801.673,,,801.673,
213,-804.065,,,804.065,
214,-805.544,,,805.544,
215,-807.752,,,807.752,
216,-810.326,,,810.326,
217,-811.437,,,811.437,
218,-812.176,,,812.176,
219,-815.484,,,815.484,
220,-816.777,,,816.777,
221,-818.436,,,818.436,
222,-819.725,,,819.725,
223,-820.83,,,820.83,
224,-822.304,,,822.304,
225,-823.413,,,823.413,
226,-825.068,,,825.068,
227,-827.272,,,827.272,
228,-827.645,,,827.645,
229,-829.479,,,829.479,
230,-830.22,,,830.22,
231,-832.244,,,832.244,
232,-833.353,,,833.353,
233,-834.821,,,834.821,
234,-835.56,,,835.56,
235,-837.033,,,837.033,
236,-837.407,,,837.407,
237,-837.962,,,837.962,
238,-839.246,,,839.246,
239,-840.168,,,840.168,
240,-841.27,,,841.27,
241,-841.829,,,841.829,
242,-841.834,,,841.834,
243,-842.204,,,842.204,
244,-842.208,,,842.208,
245,-843.129,,,843.129,
246,-843.678,,,843.678,
247,-844.42,,,844.42,
248,-844.425,,,844.425,
249,-844.243,,,844.243,
250,-844.976,,,844.976,
251,-844.794,,,844.794,
252,-845.35,,,845.35,
253,-845.352,,,845.352,
254,-844.807,,,844.807,
255,-845.171,,,845.171,
256,-845.177,,,845.177,
257,-845.176,,,845.176,
258,-844.261,,,844.261,
259,-844.443,,,844.443,
260,-843.165,,,843.165,
261,-843.711,,,843.711,
262,-842.981,,,842.981,
263,-842.983,,,842.983,
264,-842.067,,,842.067,
265,-841.515,,,841.515,
266,-840.416,,,840.416,
267,-840.968,,,840.968,
268,-840.598,,,840.598,
269,-839.683,,,839.683,
270,-839.129,,,839.129,
271,-838.21,,,838.21,
272,-839.307,,,839.307,
273,-837.293,,,837.293,
274,-836.006,,,836.006,
275,-835.822,,,835.822,
276,-835.636,,,835.636,
277,-834.169,,,834.169,
278,-833.066,,,833.066,
279,-832.332,,,832.332,
280,-831.228,,,831.228,
281,-830.676,,,830.676,
282,-829.57,,,829.57,
283,-828.656,,,828.656,
284,-827.735,,,827.735,
285,-826.636,,,826.636,
286,-825.898,,,825.898,
287,-824.974,,,824.974,
288,-824.239,,,824.239,
289,-823.139,,,823.139,
290,-822.221,,,822.221,
291,-820.751,,,820.751,
292,-820.019,,,820.019,
293,-819.456,,,819.456,
294,-817.438,,,817.438,
295,-817.073,,,817.073,
296,-815.602,,,815.602,
297,-814.498,,,814.498,
298,-813.03,,,813.03,
299,-811.743,,,811.743,
300,-810.64,,,810.64,
301,-809.536,,,809.536,
302,-808.802,,,808.802,
303,-807.884,,,807.884,
304,-806.594,,,806.594,
305,-805.489,,,805.489,
306,-804.021,,,804.021,
307,-802.55,,,802.55,
308,-801.634,,,801.634,
309,-800.346,,,800.346,
310,-798.696,,,798.696,
311,-798.507,,,798.507,
312,-796.304,,,796.304,
313,-795.752,,,795.752,
314,-794.101,,,794.101,
315,-792.448,,,792.448,
316,-791.894,,,791.894,
317,-790.608,,,790.608,
318,-789.688,,,789.688,
319,-788.223,,,788.223,
320,-786.754,,,786.754,
321,-785.651,,,785.651,
322,-784.915,,,784.915,
323,-783.084,,,783.084,
324,-782.894,,,782.894,
325,-781.792,,,781.792,
326,-779.956,,,779.956,
327,-779.223,,,779.223,
328,-778.305,,,778.305,
329,-778.123,,,778.123,
330,-777.019,,,777.019,
331,-775.732,,,775.732,
332,-775.55,,,775.55,
333,-774.083,,,774.083,
334,-774.263,,,774.263,
335,-772.978,,,772.978,
336,-772.611,,,772.611,
337,-771.694,,,771.694,
338,-770.96,,,770.96,
339,-770.775,,,770.775,
340,-769.674,,,769.674,
341,-769.672,,,769.672,
342,-768.391,,,768.391,
343,-768.569,,,768.569,
344,-767.287,,,767.287,
345,-767.29,,,767.29,
346,-766.738,,,766.738,
347,-766,,,766,
348,-764.899,,,764.899,
349,-764.899,,,764.899,
350,-764.351,,,764.351,
351,-763.432,,,763.432,
352,-763.612,,,763.612,
353,-762.52,,,762.52,
354,-762.884,,,762.884,
355,-762.515,,,762.515,
356,-761.965,,,761.965,
357,-761.048,,,761.048,
358,-761.414,,,761.414,
359,-760.865,,,760.865,
360,-759.583,,,759.583,
361,-760.134,,,760.134,
362,-759.583,,,759.583,
363,-759.583,,,759.583,
364,-760.13,,,760.13,
365,-759.22,,,759.22,
366,-759.587,,,759.587,
367,-759.59,,,759.59,
368,-759.587,,,759.587,
369,-760.869,,,760.869,
370,-760.687,,,760.687,
371,-761.423,,,761.423,
372,-761.606,,,761.606,
373,-762.154,,,762.154,
374,-762.339,,,762.339,
375,-763.071,,,763.071,
376,-763.627,,,763.627,
377,-764.543,,,764.543,
378,-765.092,,,765.092,
379,-764.73,,,764.73,
380,-765.285,,,765.285,
381,-765.289,,,765.289,
382,-766.205,,,766.205,
383,-766.761,,,766.761,
384,-767.492,,,767.492,
385,-767.496,,,767.496,
386,-768.044,,,768.044,
387,-768.599,,,768.599,
388,-768.603,,,768.603,
389,-768.973,,,768.973,
390,-769.341,,,769.341,
391,-769.711,,,769.711,
392,-771.914,,,771.914,
393,-771.731,,,771.731,
394,-771.366,,,771.366,
395,-772.652,,,772.652,
396,-772.287,,,772.287,
397,-773.213,,,773.213,
398,-773.946,,,773.946,
399,-773.766,,,773.766,
400,-775.419,,,775.419,
401,-775.973,,,775.973,
402,-775.978,,,775.978,
403,-776.348,,,776.348,
404,-777.634,,,777.634,
405,-778.005,,,778.005,
406,-778.196,,,778.196,
407,-779.662,,,779.662,
408,-779.668,,,779.668,
409,-780.77,,,780.77,
410,-781.143,,,781.143,
411,-781.149,,,781.149,
412,-782.253,,,782.253,
413,-782.449,,,782.449,
414,-783.914,,,783.914,
415,-783.92,,,783.92,
416,-785.021,,,785.021,
417,-785.762,,,785.762,
418,-785.409,,,785.409,
419,-787.242,,,787.242,
420,-787.98,,,787.98,
421,-789.082,,,789.082,
422,-789.456,,,789.456,
423,-790.193,,,790.193,
424,-790.381,,,790.381,
425,-791.309,,,791.309,
426,-791.678,,,791.678,
