KJ_test	// User ID
25-3-2025	// Evaluation date
KaiJen_AFAP_CMJ1	24-3-2025	14:55:22:614	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
0	999.683082	0.104213	0.093447	-0.493891	0.111597	0.092392	-0.149005	0.126136	0.500296	-0.461215	0.123681	0.504896	-0.201565	0.146404	0.862374	-0.460632	0.164572	0.864069	-0.232845	1.810000	102.075672	
1	999.443701	0.105215	0.093230	-0.492368	0.113367	0.092098	-0.149209	0.127429	0.500304	-0.462620	0.124105	0.504969	-0.199149	0.144463	0.862549	-0.462524	0.164429	0.863794	-0.234855	1.810000	102.075672	
2	998.984376	0.105746	0.093521	-0.491374	0.114510	0.092529	-0.149239	0.128314	0.500681	-0.463208	0.124344	0.505588	-0.197808	0.144779	0.862950	-0.461805	0.164039	0.864425	-0.234092	1.810000	102.075672	
3	1000.066036	0.105958	0.094166	-0.490809	0.115182	0.093442	-0.149173	0.128869	0.501321	-0.463179	0.124465	0.506543	-0.197328	0.146641	0.863510	-0.459310	0.163504	0.865664	-0.231443	1.810000	102.075672	
4	998.532763	0.106065	0.094995	-0.490614	0.115527	0.094573	-0.149094	0.129117	0.502126	-0.462730	0.124560	0.507659	-0.197413	0.148997	0.864166	-0.456180	0.163032	0.867148	-0.228130	1.810000	102.075672	
5	1002.214998	0.106330	0.095833	-0.490756	0.115680	0.095642	-0.149094	0.129051	0.502938	-0.462007	0.124734	0.508712	-0.197695	0.150544	0.864852	-0.453779	0.162908	0.868460	-0.225620	1.810000	102.075672	
6	999.782475	0.106894	0.096544	-0.491109	0.115799	0.096428	-0.149218	0.128764	0.503614	-0.461186	0.125043	0.509483	-0.197951	0.150652	0.865503	-0.452872	0.163209	0.869319	-0.224725	1.810000	102.075672	
7	1001.059056	0.107644	0.097077	-0.491379	0.116085	0.096834	-0.149422	0.128545	0.504126	-0.460574	0.125452	0.509867	-0.198254	0.150042	0.866055	-0.453020	0.163603	0.869712	-0.224934	1.810000	102.075672	
8	998.009030	0.108407	0.097394	-0.491323	0.116664	0.096810	-0.149645	0.128636	0.504470	-0.460443	0.125889	0.509823	-0.198644	0.149510	0.866450	-0.453640	0.163751	0.869678	-0.225591	1.810000	102.075672	
9	1001.698243	0.108832	0.097524	-0.491071	0.117179	0.096504	-0.149845	0.128852	0.504646	-0.460651	0.126105	0.509527	-0.198819	0.149293	0.866657	-0.454172	0.163616	0.869393	-0.226120	1.810000	102.075672	
10	1000.466333	0.108526	0.097522	-0.490882	0.117110	0.096130	-0.150027	0.128860	0.504659	-0.460876	0.125802	0.509228	-0.198431	0.149413	0.866657	-0.454080	0.163274	0.869077	-0.225996	1.810000	102.075672	
11	1001.150375	0.107596	0.097357	-0.490890	0.116406	0.095859	-0.150164	0.128637	0.504463	-0.460952	0.125037	0.509067	-0.197628	0.149690	0.866416	-0.453343	0.162794	0.868886	-0.225215	1.810000	102.075672	
12	999.954436	0.106693	0.096910	-0.491063	0.115510	0.095812	-0.150170	0.128493	0.503958	-0.460873	0.124239	0.509078	-0.197098	0.149739	0.865883	-0.452485	0.162236	0.868898	-0.224330	1.810000	102.075672	
13	999.216413	0.106307	0.096189	-0.491316	0.114803	0.096001	-0.150039	0.128640	0.503174	-0.460681	0.123751	0.509226	-0.197289	0.149360	0.865122	-0.451970	0.161695	0.869104	-0.223821	1.810000	102.075672	
14	1000.336878	0.106344	0.095608	-0.491538	0.114402	0.096144	-0.149948	0.128950	0.502559	-0.460641	0.123568	0.509312	-0.197664	0.148944	0.864550	-0.452004	0.161364	0.869229	-0.223872	1.810000	102.075672	
15	1000.398798	0.106605	0.095603	-0.491630	0.114353	0.095945	-0.150060	0.129240	0.502573	-0.461002	0.123620	0.509131	-0.197562	0.148940	0.864587	-0.452685	0.161430	0.868989	-0.224553	1.810000	102.075672	
16	1002.329612	0.106929	0.096033	-0.491584	0.114567	0.095522	-0.150229	0.129436	0.503048	-0.461467	0.123835	0.508794	-0.196990	0.149293	0.865062	-0.453522	0.161843	0.868523	-0.225377	1.810000	102.075672	
17	1001.576050	0.107181	0.096435	-0.491445	0.114874	0.095230	-0.150143	0.129529	0.503467	-0.461448	0.124140	0.508570	-0.196325	0.149657	0.865470	-0.453699	0.162420	0.868203	-0.225554	1.810000	102.075672	
18	1002.506792	0.107316	0.096540	-0.491302	0.115138	0.095213	-0.149746	0.129540	0.503543	-0.460818	0.124452	0.508556	-0.195881	0.149841	0.865535	-0.453021	0.162989	0.868179	-0.224896	1.810000	102.075672	
19	1002.391927	0.107425	0.096393	-0.491325	0.115275	0.095293	-0.149400	0.129536	0.503351	-0.460159	0.124680	0.508594	-0.195892	0.149890	0.865338	-0.452267	0.163399	0.868257	-0.224168	1.810000	102.075672	
20	1003.359056	0.107553	0.096059	-0.491628	0.115214	0.095284	-0.149413	0.129537	0.502992	-0.460063	0.124751	0.508514	-0.196528	0.149838	0.864984	-0.452206	0.163544	0.868221	-0.224122	1.810000	102.075672	
21	1001.592909	0.107479	0.095575	-0.492063	0.114915	0.095073	-0.149664	0.129329	0.502546	-0.460881	0.124627	0.508217	-0.197493	0.149545	0.864545	-0.453171	0.163503	0.867914	-0.225105	1.810000	102.075672	
22	1001.540793	0.106926	0.094989	-0.492410	0.114362	0.094586	-0.149912	0.128655	0.502086	-0.462835	0.124290	0.507647	-0.198352	0.148853	0.864090	-0.455318	0.163402	0.867214	-0.227286	1.810000	102.075672	
23	1001.717642	0.106076	0.094533	-0.492569	0.113775	0.094027	-0.150006	0.127735	0.501783	-0.465121	0.123866	0.507039	-0.198813	0.148067	0.863786	-0.457879	0.163267	0.866397	-0.229882	1.810000	102.075672	
24	1000.367855	0.105490	0.094573	-0.492544	0.113575	0.093827	-0.149874	0.127182	0.501886	-0.466088	0.123595	0.506845	-0.198705	0.147878	0.863877	-0.459326	0.163036	0.866061	-0.231323	1.810000	102.075672	
25	1001.130129	0.105476	0.095200	-0.492372	0.113919	0.094178	-0.149517	0.127300	0.502445	-0.465015	0.123595	0.507237	-0.198070	0.148499	0.864421	-0.459014	0.162728	0.866463	-0.230952	1.810000	102.075672	
