KJ_test	// User ID
25-3-2025	// Evaluation date
KaiJen_AHAP_CMJ1	24-3-2025	14:58:15:811	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
0	1010.457140	0.130001	0.092859	-0.446304	0.124620	0.087107	-0.131252	0.132064	0.504959	-0.418127	0.122331	0.502648	-0.172922	0.120143	0.897065	-0.426147	0.145867	0.893642	-0.192844	1.810000	102.075672	
1	1011.383283	0.128250	0.086400	-0.446821	0.123346	0.087697	-0.130474	0.125059	0.499084	-0.429226	0.121620	0.503206	-0.172267	0.117197	0.891373	-0.430414	0.138773	0.894273	-0.196737	1.810000	102.075672	
2	1011.630831	0.127723	0.084908	-0.447076	0.123128	0.088315	-0.130293	0.123638	0.497668	-0.431278	0.121445	0.503790	-0.172700	0.116629	0.889975	-0.431547	0.136824	0.894896	-0.197732	1.810000	102.075672	
3	1011.741252	0.128125	0.086824	-0.447047	0.123650	0.088912	-0.130569	0.126135	0.499374	-0.427057	0.121580	0.504344	-0.173155	0.117793	0.891641	-0.430410	0.138585	0.895479	-0.196628	1.810000	102.075672	
4	1010.276925	0.129022	0.090437	-0.446816	0.124472	0.089290	-0.130917	0.130223	0.502616	-0.420260	0.121894	0.504690	-0.173734	0.119812	0.894766	-0.428233	0.142203	0.895816	-0.194577	1.810000	102.075672	
5	1010.752472	0.129916	0.093541	-0.446446	0.125080	0.089124	-0.130924	0.133086	0.505432	-0.415333	0.122192	0.504511	-0.174144	0.121641	0.897476	-0.426508	0.145527	0.895570	-0.192988	1.810000	102.075672	
6	1009.898734	0.130512	0.094664	-0.445998	0.125193	0.088399	-0.130514	0.133228	0.506558	-0.414750	0.122306	0.503785	-0.173821	0.122687	0.898624	-0.426017	0.147213	0.894751	-0.192579	1.810000	102.075672	
7	1006.944849	0.130874	0.094311	-0.445652	0.124949	0.087744	-0.130113	0.131871	0.506374	-0.416858	0.122477	0.503148	-0.173141	0.123262	0.898540	-0.426108	0.147562	0.894065	-0.192668	1.810000	102.075672	
8	1007.522746	0.131090	0.093259	-0.445617	0.124549	0.087750	-0.130096	0.130457	0.505496	-0.419554	0.122968	0.503195	-0.172710	0.123727	0.897755	-0.426034	0.147081	0.894160	-0.192496	1.810000	102.075672	
9	1003.730284	0.131180	0.092291	-0.445828	0.124305	0.088256	-0.130323	0.129717	0.504628	-0.421360	0.123449	0.503734	-0.172661	0.124047	0.896935	-0.425512	0.146357	0.894801	-0.191850	1.810000	102.075672	
10	1003.166365	0.131136	0.092162	-0.446119	0.124556	0.088820	-0.130447	0.130089	0.504468	-0.421082	0.123383	0.504283	-0.172935	0.124044	0.896777	-0.424457	0.145994	0.895433	-0.190743	1.810000	102.075672	
11	1002.075067	0.130922	0.092915	-0.446422	0.125171	0.089222	-0.130339	0.131375	0.505059	-0.418869	0.122771	0.504619	-0.173403	0.123673	0.897328	-0.423232	0.146236	0.895790	-0.189577	1.810000	102.075672	
12	998.000970	0.130494	0.093793	-0.446697	0.125544	0.089467	-0.130184	0.132678	0.505744	-0.416413	0.122168	0.504804	-0.173777	0.123031	0.897945	-0.422677	0.146941	0.895926	-0.189165	1.810000	102.075672	
13	995.648826	0.129849	0.094139	-0.446972	0.125303	0.089501	-0.130194	0.133347	0.505963	-0.415082	0.121982	0.504834	-0.173825	0.122257	0.898089	-0.423310	0.147885	0.895852	-0.189988	1.810000	102.075672	
14	994.967237	0.129067	0.093873	-0.447768	0.124819	0.089115	-0.130520	0.133620	0.505587	-0.414657	0.122147	0.504498	-0.173717	0.121598	0.897646	-0.424613	0.148646	0.895408	-0.191447	1.810000	102.075672	
