KJ_test	// User ID
25-3-2025	// Evaluation date
Kathryn_AFAP_CMJ1	24-3-2025	15:02:56:427	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
0	569.696234	0.104069	0.090069	-0.437503	0.109849	0.093444	-0.138036	0.155142	0.484145	-0.413905	0.162009	0.478067	-0.182390	0.174066	0.883627	-0.414642	0.183471	0.884448	-0.221085	1.660000	58.340150	
1	571.141150	0.103595	0.090414	-0.437225	0.110015	0.092993	-0.138396	0.154325	0.484569	-0.414180	0.161619	0.477678	-0.182870	0.174450	0.883990	-0.415468	0.183332	0.884015	-0.221886	1.660000	58.340150	
2	568.857309	0.103454	0.090721	-0.437158	0.110127	0.092814	-0.138445	0.154148	0.484891	-0.414306	0.161657	0.477458	-0.183347	0.174266	0.884312	-0.415915	0.183076	0.883814	-0.222330	1.660000	58.340150	
3	569.257309	0.103570	0.090972	-0.437246	0.110184	0.092833	-0.138279	0.154412	0.485117	-0.414293	0.161982	0.477373	-0.183752	0.173683	0.884578	-0.416071	0.182771	0.883784	-0.222498	1.660000	58.340150	
4	569.041199	0.103804	0.091076	-0.437391	0.110165	0.093070	-0.137957	0.154855	0.485180	-0.414193	0.162384	0.477488	-0.183980	0.172982	0.884695	-0.415960	0.182532	0.883962	-0.222407	1.660000	58.340150	
5	570.789856	0.103972	0.090893	-0.437497	0.110029	0.093620	-0.137501	0.155186	0.484953	-0.413948	0.162605	0.477943	-0.183910	0.172517	0.884505	-0.415557	0.182505	0.884458	-0.222029	1.660000	58.340150	
6	568.338184	0.104011	0.090418	-0.437510	0.109782	0.094382	-0.137009	0.155218	0.484457	-0.413575	0.162519	0.478675	-0.183491	0.172437	0.884014	-0.414964	0.182751	0.885188	-0.221459	1.660000	58.340150	
7	568.968909	0.104107	0.089928	-0.437430	0.109511	0.094877	-0.136748	0.154945	0.484010	-0.413421	0.162274	0.479217	-0.182811	0.172463	0.883555	-0.414535	0.183154	0.885671	-0.221055	1.660000	58.340150	
8	567.332598	0.104431	0.089702	-0.437270	0.109313	0.094696	-0.136934	0.154427	0.483924	-0.413794	0.162034	0.479156	-0.182013	0.172330	0.883452	-0.414582	0.183585	0.885492	-0.221132	1.660000	58.340150	
9	566.553366	0.104863	0.089836	-0.437100	0.109257	0.094137	-0.137328	0.153988	0.484216	-0.414455	0.161863	0.478725	-0.181445	0.172167	0.883733	-0.414972	0.183939	0.884937	-0.221547	1.660000	58.340150	
10	568.667808	0.105178	0.090343	-0.437014	0.109401	0.093750	-0.137529	0.154041	0.484790	-0.414971	0.161784	0.478387	-0.181495	0.172238	0.884306	-0.415406	0.184127	0.884546	-0.221984	1.660000	58.340150	
11	569.985741	0.105260	0.091028	-0.437034	0.109694	0.093693	-0.137444	0.154578	0.485424	-0.415104	0.161794	0.478288	-0.182108	0.172513	0.884952	-0.415676	0.184145	0.884482	-0.222239	1.660000	58.340150	
12	568.562795	0.105114	0.091482	-0.437114	0.109973	0.093711	-0.137299	0.155144	0.485769	-0.414829	0.161857	0.478241	-0.182766	0.172647	0.885315	-0.415668	0.184084	0.884508	-0.222220	1.660000	58.340150	
13	567.153281	0.104783	0.091435	-0.437213	0.110117	0.093618	-0.137256	0.155350	0.485612	-0.414188	0.161938	0.478117	-0.183058	0.172436	0.885175	-0.415339	0.184011	0.884451	-0.221899	1.660000	58.340150	
