KJ_test	// User ID
25-3-2025	// Evaluation date
Kathryn_AHAP_CMJ1	24-3-2025	15:04:55:021	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
0	571.314159	0.117782	0.086676	-0.433722	0.120985	0.087902	-0.157691	0.163554	0.484520	-0.415446	0.174781	0.479092	-0.190823	0.180601	0.875962	-0.408165	0.189975	0.881214	-0.218196	1.660000	58.340150	
1	570.277336	0.118753	0.089379	-0.433114	0.121018	0.089221	-0.158423	0.165998	0.486866	-0.411198	0.174776	0.480466	-0.190674	0.183521	0.878253	-0.402289	0.189600	0.882958	-0.212183	1.660000	58.340150	
2	571.369081	0.119273	0.090814	-0.432965	0.121286	0.090080	-0.158639	0.167116	0.488068	-0.408278	0.174455	0.481478	-0.190239	0.184749	0.879441	-0.398960	0.189792	0.884097	-0.208811	1.660000	58.340150	
3	570.473364	0.119441	0.091302	-0.433139	0.121700	0.090589	-0.158474	0.167254	0.488430	-0.406463	0.173933	0.482157	-0.189626	0.184740	0.879820	-0.397586	0.190370	0.884766	-0.207463	1.660000	58.340150	
4	570.012650	0.119409	0.091223	-0.433394	0.122126	0.090783	-0.158085	0.166820	0.488317	-0.405528	0.173377	0.482501	-0.188956	0.184117	0.879734	-0.397493	0.190971	0.885033	-0.207420	1.660000	58.340150	
5	570.989933	0.119373	0.091003	-0.433394	0.122400	0.090644	-0.157635	0.166268	0.488139	-0.405241	0.172993	0.482457	-0.188371	0.183618	0.879568	-0.397944	0.191103	0.884916	-0.207894	1.660000	58.340150	
6	569.012785	0.119421	0.090968	-0.433022	0.122442	0.090295	-0.157255	0.165927	0.488187	-0.405386	0.172883	0.482128	-0.187973	0.183665	0.879603	-0.398368	0.190623	0.884564	-0.208288	1.660000	58.340150	
7	569.219793	0.119423	0.091242	-0.432643	0.122345	0.090140	-0.157017	0.165876	0.488519	-0.405764	0.172941	0.481950	-0.187779	0.184033	0.879912	-0.398519	0.190105	0.884396	-0.208396	1.660000	58.340150	
8	570.379402	0.119244	0.091866	-0.432625	0.122217	0.090521	-0.156961	0.166131	0.489120	-0.406184	0.173049	0.482293	-0.187821	0.184436	0.880493	-0.398265	0.190102	0.884759	-0.208122	1.660000	58.340150	
9	567.657175	0.118893	0.092513	-0.432935	0.122154	0.091158	-0.157017	0.166501	0.489688	-0.406584	0.173162	0.482888	-0.188109	0.184677	0.881051	-0.397915	0.190514	0.885373	-0.207780	1.660000	58.340150	
10	567.278919	0.118435	0.092731	-0.433389	0.122243	0.091548	-0.157087	0.166727	0.489818	-0.406951	0.173262	0.483241	-0.188638	0.184607	0.881187	-0.397928	0.190998	0.885733	-0.207817	1.660000	58.340150	
11	567.873221	0.117979	0.092441	-0.433808	0.122470	0.091524	-0.157178	0.166797	0.489450	-0.407176	0.173378	0.483189	-0.189255	0.184318	0.880838	-0.398274	0.191375	0.885681	-0.208195	1.660000	58.340150	
12	567.293101	0.117684	0.091960	-0.434012	0.122711	0.091274	-0.157398	0.166969	0.488889	-0.407038	0.173584	0.482930	-0.189639	0.184164	0.880297	-0.398406	0.191640	0.885430	-0.208349	1.660000	58.340150	
13	567.135526	0.117632	0.091565	-0.433940	0.122845	0.090958	-0.157756	0.167374	0.488401	-0.406441	0.173891	0.482625	-0.189589	0.184335	0.879824	-0.398016	0.191781	0.885147	-0.207963	1.660000	58.340150	
14	567.697071	0.117670	0.091345	-0.433883	0.122771	0.090598	-0.157975	0.167737	0.488092	-0.405697	0.174104	0.482270	-0.189281	0.184483	0.879531	-0.397593	0.191731	0.884810	-0.207532	1.660000	58.340150	
15	567.038774	0.117628	0.091343	-0.434149	0.122419	0.090204	-0.157764	0.167741	0.488027	-0.405181	0.174025	0.481848	-0.188958	0.184205	0.879491	-0.397701	0.191431	0.884379	-0.207628	1.660000	58.340150	
16	567.174723	0.117625	0.091507	-0.434589	0.121998	0.089937	-0.157245	0.167453	0.488189	-0.405098	0.173792	0.481528	-0.188792	0.183532	0.879679	-0.398155	0.191005	0.884037	-0.208079	1.660000	58.340150	
17	567.647490	0.117932	0.091734	-0.434803	0.121872	0.090039	-0.156776	0.167158	0.488508	-0.405559	0.173729	0.481575	-0.188908	0.182741	0.880013	-0.398352	0.190678	0.884091	-0.208288	1.660000	58.340150	
18	569.548800	0.118567	0.091949	-0.434589	0.122164	0.090521	-0.156574	0.167035	0.488893	-0.406418	0.173917	0.482027	-0.189230	0.182136	0.880394	-0.398039	0.190612	0.884582	-0.208002	1.660000	58.340150	
19	566.368654	0.119151	0.092120	-0.434043	0.122621	0.091026	-0.156633	0.167106	0.489215	-0.407123	0.174055	0.482565	-0.189385	0.182047	0.880693	-0.397513	0.190875	0.885146	-0.207497	1.660000	58.340150	
20	565.545569	0.119349	0.092204	-0.433317	0.122980	0.091218	-0.156906	0.167355	0.489349	-0.407224	0.173904	0.482873	-0.189072	0.182660	0.880800	-0.397086	0.191459	0.885428	-0.207073	1.660000	58.340150	
