KJ_test	// User ID
25-3-2025	// Evaluation date
ianjump_AFAP_CMJ1	24-3-2025	14:47:43:968	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
0	881.743066	0.107165	0.107042	-0.477311	0.107838	0.108238	-0.149162	0.172796	0.551687	-0.443099	0.163375	0.552122	-0.194573	0.166208	0.977605	-0.441234	0.181672	0.977753	-0.216181	1.910000	89.660313	
1	881.680765	0.106161	0.107137	-0.477745	0.107653	0.108487	-0.149743	0.171821	0.551716	-0.443013	0.163349	0.552463	-0.193864	0.165197	0.977576	-0.435774	0.180051	0.978375	-0.210680	1.910000	89.660313	
2	883.914409	0.105678	0.107423	-0.477817	0.107580	0.108398	-0.149945	0.171684	0.551921	-0.442499	0.162866	0.552531	-0.193137	0.165026	0.977731	-0.432771	0.179320	0.978538	-0.207642	1.910000	89.660313	
3	883.312695	0.105576	0.107783	-0.477627	0.107585	0.108046	-0.149857	0.172109	0.552174	-0.441850	0.162112	0.552334	-0.192482	0.165444	0.977975	-0.431727	0.179235	0.978329	-0.206566	1.910000	89.660313	
4	883.887162	0.105644	0.108006	-0.477330	0.107649	0.107493	-0.149574	0.172821	0.552287	-0.441405	0.161349	0.551894	-0.192058	0.166119	0.978108	-0.432195	0.179569	0.977814	-0.207013	1.910000	89.660313	
5	881.474231	0.105618	0.107816	-0.477120	0.107768	0.106793	-0.149203	0.173544	0.552009	-0.441537	0.160891	0.551225	-0.192062	0.166663	0.977856	-0.433768	0.180115	0.977043	-0.208587	1.910000	89.660313	
6	882.757020	0.105375	0.107117	-0.477078	0.107903	0.106023	-0.148827	0.174005	0.551284	-0.442520	0.160913	0.550380	-0.192596	0.166843	0.977146	-0.435937	0.180621	0.976109	-0.210776	1.910000	89.660313	
7	882.915770	0.105075	0.106172	-0.477073	0.107949	0.105316	-0.148477	0.173925	0.550449	-0.444421	0.161303	0.549499	-0.193574	0.166743	0.976313	-0.437981	0.180758	0.975192	-0.212836	1.910000	89.660313	
8	884.990277	0.104888	0.105282	-0.476979	0.107825	0.104814	-0.148184	0.173120	0.549845	-0.447141	0.161912	0.548748	-0.194817	0.166477	0.975693	-0.439254	0.180304	0.974487	-0.214096	1.910000	89.660313	
9	883.999083	0.104839	0.104641	-0.476860	0.107634	0.104688	-0.148034	0.171974	0.549545	-0.449702	0.162577	0.548402	-0.195757	0.166113	0.975360	-0.439693	0.179777	0.974213	-0.214524	1.910000	89.660313	
10	885.904179	0.104896	0.104378	-0.476858	0.107543	0.105103	-0.148120	0.171083	0.549497	-0.450817	0.163134	0.548752	-0.195723	0.165704	0.975285	-0.439457	0.179949	0.974586	-0.214327	1.910000	89.660313	
11	885.380823	0.105067	0.104591	-0.476967	0.107616	0.105999	-0.148403	0.170801	0.549724	-0.450018	0.163520	0.549736	-0.194819	0.165387	0.975510	-0.438604	0.180813	0.975545	-0.213553	1.910000	89.660313	
12	886.288369	0.105413	0.105380	-0.477023	0.107799	0.107073	-0.148713	0.171222	0.550350	-0.447733	0.163781	0.550914	-0.193991	0.165391	0.976150	-0.437090	0.181534	0.976732	-0.212085	1.910000	89.660313	
13	885.219168	0.105949	0.106699	-0.476931	0.108039	0.108033	-0.148915	0.172288	0.551382	-0.444636	0.163961	0.551905	-0.193903	0.165853	0.977198	-0.435045	0.181507	0.977812	-0.210003	1.910000	89.660313	
14	886.179971	0.106549	0.108039	-0.476858	0.108291	0.108672	-0.148993	0.173511	0.552434	-0.441980	0.164074	0.552546	-0.194185	0.166613	0.978259	-0.433134	0.180925	0.978560	-0.208004	1.910000	89.660313	
15	885.425209	0.107052	0.108826	-0.477015	0.108507	0.108832	-0.148957	0.174353	0.553075	-0.440954	0.164134	0.552713	-0.194313	0.167453	0.978899	-0.432051	0.180139	0.978801	-0.206825	1.910000	89.660313	
16	884.294656	0.107299	0.108942	-0.477335	0.108628	0.108611	-0.148832	0.174538	0.553205	-0.441330	0.164223	0.552492	-0.194206	0.168068	0.979021	-0.431768	0.179516	0.978613	-0.206475	1.910000	89.660313	
17	883.816602	0.107137	0.108539	-0.477582	0.108583	0.108254	-0.148652	0.173939	0.552910	-0.442096	0.164464	0.552098	-0.194031	0.168114	0.978720	-0.431847	0.179436	0.978223	-0.206549	1.910000	89.660313	
18	884.799742	0.106589	0.107802	-0.477599	0.108365	0.107890	-0.148478	0.172805	0.552312	-0.442743	0.164820	0.551656	-0.193921	0.167561	0.978122	-0.432172	0.179974	0.977760	-0.206933	1.910000	89.660313	
19	883.671435	0.105955	0.106963	-0.477378	0.108068	0.107455	-0.148439	0.171960	0.551582	-0.443541	0.165007	0.551151	-0.193951	0.166868	0.977398	-0.433127	0.180738	0.977202	-0.207970	1.910000	89.660313	
20	883.736359	0.105494	0.106262	-0.476982	0.107790	0.106927	-0.148653	0.172040	0.550910	-0.444640	0.164819	0.550609	-0.194157	0.166456	0.976735	-0.434897	0.181344	0.976573	-0.209802	1.910000	89.660313	
21	881.378548	0.105196	0.105940	-0.476644	0.107604	0.106569	-0.149036	0.172573	0.550542	-0.445409	0.164473	0.550291	-0.194366	0.166384	0.976378	-0.436526	0.181619	0.976176	-0.211456	1.910000	89.660313	
22	880.254468	0.104979	0.106200	-0.476606	0.107567	0.106707	-0.149441	0.172799	0.550714	-0.445066	0.164301	0.550490	-0.194354	0.166598	0.976562	-0.436801	0.181471	0.976363	-0.211709	1.910000	89.660313	
23	882.266055	0.104831	0.106881	-0.476838	0.107673	0.107289	-0.149757	0.172603	0.551295	-0.443815	0.164431	0.551127	-0.194081	0.166923	0.977153	-0.435696	0.181137	0.977053	-0.210560	1.910000	89.660313	
24	880.742350	0.104798	0.107514	-0.477094	0.107854	0.107948	-0.149900	0.172397	0.551850	-0.442697	0.164822	0.551815	-0.193677	0.167082	0.977705	-0.434167	0.181126	0.977799	-0.209021	1.910000	89.660313	
