KJ_test	// User ID
25-3-2025	// Evaluation date
ianjump_AHAP_CMJ1	24-3-2025	14:51:32:131	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
0	855.204998	0.105487	0.101931	-0.466760	0.082030	0.104179	-0.131460	0.147777	0.552595	-0.429440	0.122586	0.548535	-0.182539	0.135363	0.987087	-0.434226	0.139581	0.984717	-0.199181	1.910000	89.660313	
1	855.224471	0.105427	0.100753	-0.465627	0.082043	0.105540	-0.131319	0.145969	0.551979	-0.433456	0.124532	0.549596	-0.183486	0.134922	0.986521	-0.436864	0.142175	0.985681	-0.201893	1.910000	89.660313	
2	852.760647	0.105572	0.100409	-0.465133	0.081961	0.105514	-0.131461	0.145502	0.551840	-0.435186	0.125141	0.549495	-0.183652	0.134437	0.986378	-0.439139	0.143640	0.985448	-0.204228	1.910000	89.660313	
3	852.776660	0.105839	0.100663	-0.465116	0.081833	0.104562	-0.131826	0.146007	0.552065	-0.435132	0.124830	0.548650	-0.183216	0.134076	0.986559	-0.440901	0.144271	0.984450	-0.206035	1.910000	89.660313	
4	852.670354	0.106000	0.101189	-0.465419	0.081619	0.103368	-0.132272	0.147140	0.552398	-0.433879	0.124248	0.547649	-0.182283	0.134304	0.986833	-0.441763	0.144542	0.983312	-0.206915	1.910000	89.660313	
5	853.968256	0.105715	0.101582	-0.465910	0.081217	0.102764	-0.132609	0.148576	0.552461	-0.431995	0.124214	0.547202	-0.180908	0.135802	0.986873	-0.441165	0.145056	0.982795	-0.206290	1.910000	89.660313	
6	851.141316	0.104941	0.101691	-0.466413	0.080687	0.103181	-0.132745	0.149949	0.552155	-0.429899	0.125090	0.547671	-0.179276	0.138669	0.986609	-0.439012	0.146068	0.983292	-0.204065	1.910000	89.660313	
7	851.960455	0.104229	0.101863	-0.466663	0.080425	0.104237	-0.132819	0.150783	0.551980	-0.427858	0.126310	0.548728	-0.177849	0.141828	0.986505	-0.436153	0.147132	0.984440	-0.201129	1.910000	89.660313	
8	855.053718	0.104093	0.102417	-0.466460	0.080757	0.105428	-0.132988	0.150724	0.552398	-0.426174	0.127263	0.549949	-0.177055	0.144196	0.986984	-0.433523	0.147783	0.985772	-0.198453	1.910000	89.660313	
9	853.287367	0.104396	0.103244	-0.465988	0.081309	0.106244	-0.133180	0.150305	0.553242	-0.425067	0.127734	0.550805	-0.176939	0.145531	0.987859	-0.431901	0.147949	0.986714	-0.196817	1.910000	89.660313	
10	855.228416	0.104755	0.104089	-0.465623	0.081457	0.106203	-0.133221	0.150389	0.554104	-0.424621	0.127666	0.550749	-0.177382	0.145921	0.988716	-0.431959	0.147717	0.986682	-0.196882	1.910000	89.660313	
11	859.121220	0.105055	0.104763	-0.465553	0.081154	0.105506	-0.133114	0.151229	0.554738	-0.424706	0.127199	0.549997	-0.177990	0.145675	0.989316	-0.433174	0.147363	0.985897	-0.198114	1.910000	89.660313	
12	861.788155	0.105474	0.105150	-0.465708	0.080959	0.105072	-0.133062	0.152428	0.555060	-0.425018	0.126680	0.549581	-0.178086	0.145343	0.989610	-0.433754	0.147369	0.985433	-0.198705	1.910000	89.660313	
